,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 1], [1, 0]]",2.6432503892572954,7,((x[1]**Constant)**Constant)/((Constant**Constant)**Constant),"[1, 1, 2, 2, 2, 1, 2, 1]",((x[1]**0.17495306494902252)**0.8649120985098642)/((0.639316436385754**0.40541053656807435)**0.975446671492252),[0.17495306 0.8649121  0.63931644 0.40541054 0.97544667],2.464358325826329,"{'fitness 25': 1.9267739856556036, 'fitness 53': 2.6432503892572954, 'fitness 74': 2.61556921021472, 'fitness 102': 2.8507317816086637}",False
1,"[[0], [2], [2, 3], [0, 0], [0, 2], [3, 2, 0, 0, 3, 2], [1, 1, 1, 1, 0, 0, 1, 0, 1, 1], [0]]",2.6857370053502807,6,((Constant/Constant*Constant**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 0]",((0.7387576636703607/0.09592650014820925*0.8649591355979429**0.7939292876358108)**0.6156087029356214),[0.73875766 0.0959265  0.86495914 0.79392929 0.6156087 ],2.4872118293819643,"{'fitness 25': 1.9129161658695673, 'fitness 53': 2.6857370053502807, 'fitness 74': 2.646895046356317, 'fitness 102': 2.9018242759200086}",False
2,"[[0], [2], [2], [2], [1], [0, 0, 2, 0], [0, 0], [1, 0]]",2.703864811578021,7,((((x[1]+x[0])**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",((((x[1]+x[0])**0.8095404202327884)**0.5188647030495616)**0.38146074616662484),[0.80954042 0.5188647  0.38146075],2.5169446252477474,"{'fitness 25': 1.914369889747421, 'fitness 53': 2.703864811578021, 'fitness 74': 2.690478801767747, 'fitness 102': 2.9459851842280744}",False
3,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 1], [1, 0]]",2.840867171053153,7,((x[1]**Constant)**Constant)/((Constant**Constant)**Constant),"[1, 1, 2, 2, 2, 1, 2, 1]",((x[1]**0.5225064689576936)**0.31838038186361695)/((0.42583125743121164**0.845870859945986)**0.42656298443007334),[0.52250647 0.31838038 0.42583126 0.84587086 0.42656298],2.707614628421035,"{'fitness 25': 2.4135632346968587, 'fitness 53': 2.840867171053153, 'fitness 74': 2.7803132038550613, 'fitness 102': 2.9289674467111855}",False
4,"[[0], [2], [2], [3, 2], [1], [0, 0, 2, 0], [0, 0], [1, 0]]",2.8458067857216474,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.81655053555363)**0.1719851837909694),[0.81655054 0.17198518],2.65596425708851,"{'fitness 25': 2.011899724861165, 'fitness 53': 2.8458067857216474, 'fitness 74': 2.8426725919691362, 'fitness 102': 3.1133204544352284}",False
5,"[[0], [0], [0, 2], [2, 0, 0], [2, 0, 1, 1, 0, 2], [3, 2, 0, 1, 1, 3, 3, 1, 3], [0, 1, 1, 1, 0, 0, 0, 1, 0], [0, 0, 1, 1, 0]]",2.903104884718256,7,(x[0]**Constant)/Constant*Constant+(Constant-x[0])-((x[1]/x[1])/Constant-x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 5]",(x[0]**0.3124157571769859)/0.0709266273927659*0.32448450552146446+(0.8286556533499292-x[0])-((x[1]/x[1])/0.7146063227499888-x[0]**0.7437758178871015),[0.31241576 0.07092663 0.32448451 0.82865565 0.71460632 0.74377582],2.7113943628886226,"{'fitness 25': 2.220228319511173, 'fitness 53': 2.903104884718256, 'fitness 74': 2.837730923580838, 'fitness 102': 3.0762238455738564}",False
6,"[[0], [0], [0, 2], [2, 0, 0], [2, 1, 0, 1, 0], [1, 2, 3, 1, 1, 3, 0, 3], [0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 1, 1, 0]]",2.992693931962589,7,(x[1]**Constant)-(x[1]*Constant)/x[1]-Constant-((Constant/Constant)+Constant/x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 4]",(x[1]**0.23559225083373436)-(x[1]*0.7604078577458141)/x[1]-0.020138578288972586-((0.8233298105472255/0.686178903078211)+0.8305063445876846/x[0]**0.17989627476958403),"[0.23559225 0.76040786 0.02013858 0.82332981 0.6861789  0.83050634
 0.17989627]",2.831338913668947,"{'fitness 25': 2.1850647629821034, 'fitness 53': 2.992693931962589, 'fitness 74': 3.026535422607595, 'fitness 102': 3.2824165554171407}",False
7,"[[0], [0], [2, 3], [0], [1, 1], [0, 0, 3, 2], [1, 0, 0, 0, 1], [0, 0, 0]]",3.064733481502469,7,((Constant+x[0])+(x[0]/x[0])**Constant)*Constant,"[1, 1, 2, 1, 2, 4, 5, 3]",((0.9745294713923918+x[0])+(x[0]/x[0])**0.7323579607156506)*0.9961044034233446,[0.97452947 0.73235796 0.9961044 ],2.8726236363051307,"{'fitness 25': 2.286838013999773, 'fitness 53': 3.064733481502469, 'fitness 74': 3.031471932914773, 'fitness 102': 3.299560962000847}",False
8,"[[0], [2], [2], [3], [], [], [0], [1]]",3.1773790379839055,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.9048854304249768)**0.11862805530276033),[0.90488543 0.11862806],2.997916091833796,"{'fitness 25': 2.3511136314657426, 'fitness 53': 3.1773790379839055, 'fitness 74': 3.183609534037026, 'fitness 102': 3.4590251099986205}",False
9,"[[0], [1], [1, 1], [3, 1, 3, 2], [1, 1, 0, 1, 2, 1], [3, 0, 3, 2, 2, 3, 1, 2, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], []]",3.2368583358617857,6,((Constant/((Constant+Constant)/(Constant*Constant)))*(Constant/(Constant-Constant**Constant))),"[1, 1, 2, 4, 3, 7, 8, 0]",((0.9950758877339361/((0.20628581031571502+0.5949884952651204)/(0.5238864655816434*0.6782390799789564)))*(0.41031196711329443/(0.40561695431597977-0.28273090354500385**0.8940810531474545))),"[0.99507589 0.20628581 0.5949885  0.52388647 0.67823908 0.41031197
 0.40561695 0.2827309  0.89408105]",3.058128525664106,"{'fitness 25': 2.4489639188935133, 'fitness 53': 3.2368583358617857, 'fitness 74': 3.2291873036564316, 'fitness 102': 3.4962343544423726}",False
