,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 1], [1, 0]]",2.6432503892572954,7,((x[1]**Constant)**Constant)/((Constant**Constant)**Constant),"[1, 1, 2, 2, 2, 1, 2, 1]",((x[1]**0.17495306494902252)**0.8649120985098642)/((0.639316436385754**0.40541053656807435)**0.975446671492252),[0.17495306 0.8649121  0.63931644 0.40541054 0.97544667],2.464358325826329,"{'fitness 25': 1.9267739856556036, 'fitness 53': 2.6432503892572954, 'fitness 74': 2.61556921021472, 'fitness 102': 2.8507317816086637}",False
1,"[[0], [2], [2], [2], [1], [0, 0, 2, 0], [0, 0], [1, 0]]",2.703864811578021,7,((((x[1]+x[0])**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",((((x[1]+x[0])**0.8095404202327884)**0.5188647030495616)**0.38146074616662484),[0.80954042 0.5188647  0.38146075],2.5169446252477474,"{'fitness 25': 1.914369889747421, 'fitness 53': 2.703864811578021, 'fitness 74': 2.690478801767747, 'fitness 102': 2.9459851842280744}",False
2,"[[0], [0], [0, 2], [2, 0, 0], [2, 0, 1, 1, 0, 2], [3, 2, 0, 1, 1, 3, 3, 1, 3], [0, 1, 1, 1, 0, 0, 0, 1, 0], [0, 0, 1, 1, 0]]",2.903104884718256,7,(x[0]**Constant)/Constant*Constant+(Constant-x[0])-((x[1]/x[1])/Constant-x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 5]",(x[0]**0.3124157571769859)/0.0709266273927659*0.32448450552146446+(0.8286556533499292-x[0])-((x[1]/x[1])/0.7146063227499888-x[0]**0.7437758178871015),[0.31241576 0.07092663 0.32448451 0.82865565 0.71460632 0.74377582],2.7113943628886226,"{'fitness 25': 2.220228319511173, 'fitness 53': 2.903104884718256, 'fitness 74': 2.837730923580838, 'fitness 102': 3.0762238455738564}",False
3,"[[0], [0], [0, 2], [2, 0, 0], [2, 1, 0, 1, 0], [1, 2, 3, 1, 1, 3, 0, 3], [0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 1, 1, 0]]",2.992693931962589,7,(x[1]**Constant)-(x[1]*Constant)/x[1]-Constant-((Constant/Constant)+Constant/x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 4]",(x[1]**0.23559225083373436)-(x[1]*0.7604078577458141)/x[1]-0.020138578288972586-((0.8233298105472255/0.686178903078211)+0.8305063445876846/x[0]**0.17989627476958403),"[0.23559225 0.76040786 0.02013858 0.82332981 0.6861789  0.83050634
 0.17989627]",2.831338913668947,"{'fitness 25': 2.1850647629821034, 'fitness 53': 2.992693931962589, 'fitness 74': 3.026535422607595, 'fitness 102': 3.2824165554171407}",False
4,"[[0], [2], [2], [3], [], [], [0], [1]]",3.1773790379839055,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.9048854304249768)**0.11862805530276033),[0.90488543 0.11862806],2.997916091833796,"{'fitness 25': 2.3511136314657426, 'fitness 53': 3.1773790379839055, 'fitness 74': 3.183609534037026, 'fitness 102': 3.4590251099986205}",False
5,"[[0], [1], [3, 2], [1], [2, 0], [3, 0, 0], [0, 0, 0, 1], [1, 1, 1]]",3.277978460521457,7,(x[1]/((x[1]+x[1]+Constant)**Constant)),"[1, 1, 2, 1, 2, 3, 4, 3]",(x[1]/((x[1]+x[1]+0.016703537581528094)**0.8280420758633261)),[0.01670354 0.82804208],3.103334484775116,"{'fitness 25': 2.4380857406783214, 'fitness 53': 3.277978460521457, 'fitness 74': 3.2960492798127827, 'fitness 102': 3.5758684338342435}",False
6,"[[0], [1], [0, 3], [1, 3, 2, 1], [1, 1, 0, 0, 2, 1], [2, 3, 2, 0, 3, 2, 1, 3, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 0]]",3.300707019884967,7,(((x[0]*Constant)/(Constant*Constant))+x[1]/x[1]),"[1, 1, 2, 2, 2, 5, 6, 3]",(((x[0]*0.3387746811199249)/(0.34924878980175045*0.46218967235112396))+x[1]/x[1]),[0.33877468 0.34924879 0.46218967],3.111020046111527,"{'fitness 25': 2.543045921087228, 'fitness 53': 3.300707019884967, 'fitness 74': 3.2591917056877224, 'fitness 102': 3.5308225115596312}",False
7,"[[0], [1], [0, 2], [0, 0, 0], [2, 0, 1, 1, 0, 2], [3, 1, 0, 1, 1, 3, 3, 1, 3], [1, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",3.379678741084141,7,(Constant/x[0]-Constant+(Constant-Constant)-(Constant/x[1])/(x[1]-x[1]/x[0]**Constant)),"[1, 1, 2, 3, 6, 9, 10, 5]",(0.9480391938939028/x[0]-0.01800855912538568+(0.9405575531178754-0.4562315728749706)-(0.11444425789092816/x[1])/(x[1]-x[1]/x[0]**0.9609560373756283)),[0.94803919 0.01800856 0.94055755 0.45623157 0.11444426 0.96095604],3.2408471089449606,"{'fitness 25': 2.6530216442446015, 'fitness 53': 3.379678741084141, 'fitness 74': 3.420177679672575, 'fitness 102': 3.649342002917705}",False
8,"[[0], [0], [3, 3], [2, 0], [], [3, 0, 2, 0], [1, 1, 1, 0, 0], [0, 0]]",3.4553802347622833,4,Constant/Constant,"[1, 1, 2, 0, 0, 1, 2, 0]",0.6449082525710849/0.3453192068157025,[0.64490825 0.34531921],3.285252824261548,"{'fitness 25': 2.6788755077628568, 'fitness 53': 3.4553802347622833, 'fitness 74': 3.4551811577211367, 'fitness 102': 3.721701807300652}",False
9,"[[0], [0], [3, 0], [3, 2], [2], [0, 3, 3, 3], [1, 0, 1, 1, 0], [0, 1, 0, 0]]",3.5041335310528003,6,Constant+x[0]/(Constant**Constant),"[1, 1, 2, 2, 1, 2, 3, 1]",0.8655111451730035+x[0]/(0.6537703692182228**0.8747595238143991),[0.86551115 0.65377037 0.87475952],3.3224110631048798,"{'fitness 25': 2.7206613711401992, 'fitness 53': 3.5041335310528003, 'fitness 74': 3.4827805368827467, 'fitness 102': 3.7637912812916934}",False
