,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [0, 2], [2, 0, 0], [2, 1, 0, 1, 0], [1, 2, 3, 1, 1, 3, 0, 3], [0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 1, 1, 0]]",2.992693931962589,7,(x[1]**Constant)-(x[1]*Constant)/x[1]-Constant-((Constant/Constant)+Constant/x[0]**Constant),"[1, 1, 2, 3, 5, 8, 9, 4]",(x[1]**0.23559225083373436)-(x[1]*0.7604078577458141)/x[1]-0.020138578288972586-((0.8233298105472255/0.686178903078211)+0.8305063445876846/x[0]**0.17989627476958403),"[0.23559225 0.76040786 0.02013858 0.82332981 0.6861789  0.83050634
 0.17989627]",2.831338913668947,"{'fitness 25': 2.1850647629821034, 'fitness 53': 2.992693931962589, 'fitness 74': 3.026535422607595, 'fitness 102': 3.2824165554171407}",False
1,"[[0], [2], [2], [3], [], [], [0], [1]]",3.1773790379839055,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.9048854304249768)**0.11862805530276033),[0.90488543 0.11862806],2.997916091833796,"{'fitness 25': 2.3511136314657426, 'fitness 53': 3.1773790379839055, 'fitness 74': 3.183609534037026, 'fitness 102': 3.4590251099986205}",False
2,"[[0], [1], [0, 2], [0, 0, 0], [2, 0, 1, 1, 0, 2], [3, 1, 0, 1, 1, 3, 3, 1, 3], [1, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",3.379678741084141,7,(Constant/x[0]-Constant+(Constant-Constant)-(Constant/x[1])/(x[1]-x[1]/x[0]**Constant)),"[1, 1, 2, 3, 6, 9, 10, 5]",(0.9480391938939028/x[0]-0.01800855912538568+(0.9405575531178754-0.4562315728749706)-(0.11444425789092816/x[1])/(x[1]-x[1]/x[0]**0.9609560373756283)),[0.94803919 0.01800856 0.94055755 0.45623157 0.11444426 0.96095604],3.2408471089449606,"{'fitness 25': 2.6530216442446015, 'fitness 53': 3.379678741084141, 'fitness 74': 3.420177679672575, 'fitness 102': 3.649342002917705}",False
3,"[[0], [0], [3, 3], [2, 0], [], [3, 0, 2, 0], [1, 1, 1, 0, 0], [0, 0]]",3.4553802347622833,4,Constant/Constant,"[1, 1, 2, 0, 0, 1, 2, 0]",0.6449082525710849/0.3453192068157025,[0.64490825 0.34531921],3.285252824261548,"{'fitness 25': 2.6788755077628568, 'fitness 53': 3.4553802347622833, 'fitness 74': 3.4551811577211367, 'fitness 102': 3.721701807300652}",False
4,"[[0], [2], [0], [2, 0], [0, 1, 2], [3, 2, 2, 0], [1, 1, 1, 1, 0], [0]]",3.5901662314549054,7,((Constant/Constant**Constant)*(Constant*Constant)+x[0]**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((0.4371999659580248/0.054309500909853314**0.7101610595541236)*(0.32999876052434163*0.7986416971998244)+x[0]**0.6828905725803874),[0.43719997 0.0543095  0.71016106 0.32999876 0.7986417  0.68289057],3.4169108982341765,"{'fitness 25': 2.8107227006252073, 'fitness 53': 3.5901662314549054, 'fitness 74': 3.5820781499690404, 'fitness 102': 3.8579318441082813}",False
5,"[[0], [2], [0], [3, 0], [1, 1], [1, 1, 0, 3], [1, 0, 0, 0, 1], [0, 0, 0]]",3.61799420337733,7,(Constant-(x[0]-x[0])+(x[0]/Constant)**Constant),"[1, 1, 1, 2, 2, 4, 5, 3]",(0.5946008129585405-(x[0]-x[0])+(x[0]/0.501366177788479)**0.14658800965061325),[0.59460081 0.50136618 0.14658801],3.4511772044378817,"{'fitness 25': 2.8470395597060185, 'fitness 53': 3.61799420337733, 'fitness 74': 3.6188218147090905, 'fitness 102': 3.8876702388985365}",False
6,"[[0], [0], [3, 3], [], [], [0], [1, 0], [0]]",3.705075023959026,5,Constant+x[0],"[1, 1, 2, 0, 0, 1, 2, 1]",0.8203044203791642+x[0],[0.82030442],3.533879846230852,"{'fitness 25': 2.9291122867209904, 'fitness 53': 3.705075023959026, 'fitness 74': 3.6970408753253254, 'fitness 102': 3.9754863766462396}",False
7,"[[0], [2], [0], [3, 1], [1, 2], [3, 2, 3], [0, 0, 1, 0], [0, 1, 1]]",3.830338401693473,7,(x[0]/((x[1]*Constant)/x[1])**Constant),"[1, 1, 1, 2, 2, 3, 4, 3]",(x[0]/((x[1]*0.44583961019660356)/x[1])**0.844860190119893),[0.44583961 0.84486019],3.654532797523275,"{'fitness 25': 3.0530278888462177, 'fitness 53': 3.830338401693473, 'fitness 74': 3.8109330461457835, 'fitness 102': 4.099637457577823}",False
8,"[[0], [2], [2], [3], [], [], [0], [1]]",3.909968122291108,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.9639908036419653)**0.02920019105922056),[0.9639908  0.02920019],3.7558675188274577,"{'fitness 25': 3.1551888492104005, 'fitness 53': 3.909968122291108, 'fitness 74': 3.923864610508579, 'fitness 102': 4.188549096763395}",False
9,"[[0], [0], [3, 3], [], [], [0], [1, 0], [0]]",3.9117064305990503,5,Constant+x[0],"[1, 1, 2, 0, 0, 1, 2, 1]",0.519484833678607+x[0],[0.51948483],3.747191011809926,"{'fitness 25': 3.1455716730378294, 'fitness 53': 3.9117064305990503, 'fitness 74': 3.9089321339969128, 'fitness 102': 4.187069228395035}",False
10,"[[0], [2], [2], [2], [1], [0], [0, 1], [1]]",3.9430853951898954,7,((((x[1]+Constant)**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 1]",((((x[1]+0.46556856939956526)**0.13618651012026772)**0.2185425950014651)**0.7948775769677703),[0.46556857 0.13618651 0.2185426  0.79487758],3.789954792859693,"{'fitness 25': 3.1913310043394394, 'fitness 53': 3.9430853951898954, 'fitness 74': 3.9572192247214297, 'fitness 102': 4.22131414951821}",False
11,"[[0], [2], [3], [], [], [], [0], [1]]",3.9685218609462645,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.020118890217473817),[0.02011889],3.8161262511927583,"{'fitness 25': 3.219057293787232, 'fitness 53': 3.9685218609462645, 'fitness 74': 3.982838411762765, 'fitness 102': 4.246483048028278}",False
12,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 0], [1, 0]]",4.01874094026261,7,((x[1]**Constant)**Constant)/((x[0]**Constant)**Constant),"[1, 1, 2, 2, 2, 1, 2, 2]",((x[1]**0.043129775476344)**0.12432853599758809)/((x[0]**0.16414652507467065)**0.9887329334772001),[0.04312978 0.12432854 0.16414653 0.98873293],3.870960016201593,"{'fitness 25': 3.2808871460920717, 'fitness 53': 4.01874094026261, 'fitness 74': 4.037060187863, 'fitness 102': 4.2949327146497085}",False
13,"[[0], [2], [2], [3], [], [], [0], [1]]",4.023716124214141,6,((x[1]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[1]**0.3013443164136863)**0.040301381647691925),[0.30134432 0.04030138],3.8728851796938284,"{'fitness 25': 3.279124715854936, 'fitness 53': 4.023716124214141, 'fitness 74': 4.038427980700619, 'fitness 102': 4.30110284252593}",False
14,"[[0], [2], [3], [], [], [], [0], [1]]",4.024804951400533,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.011982964807433771),[0.01198296],3.874004469204267,"{'fitness 25': 3.280308293876702, 'fitness 53': 4.024804951400533, 'fitness 74': 4.039524626473158, 'fitness 102': 4.302180487262942}",False
15,"[[0], [1], [2, 0], [2, 3, 2], [1, 1], [0, 3, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1]]",4.040103885191939,7,((((x[0]+x[0])**Constant)**Constant)/x[1]+((x[1]+Constant)**Constant)),"[1, 1, 2, 3, 2, 4, 5, 4]",((((x[0]+x[0])**0.020787770337754807)**0.9525286123155862)/x[1]+((x[1]+0.4765726221139821)**0.009639320068879353)),[0.02078777 0.95252861 0.47657262 0.00963932],3.8897194857404216,"{'fitness 25': 3.297018003158777, 'fitness 53': 4.040103885191939, 'fitness 74': 4.054887666736969, 'fitness 102': 4.317252787325519}",False
16,"[[0], [1], [2, 3], [2, 0, 1], [0, 0, 2, 0, 2, 2], [0, 3, 0, 2, 1, 0, 1, 1, 2], [1, 1, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1]]",4.046108634643952,6,(((Constant+Constant**Constant)**Constant)/Constant),"[1, 1, 2, 1, 1, 2, 3, 0]",(((0.40718801453550746+0.17394902601776963**0.7523153724179324)**0.30695122978134515)/0.8276036403904016),[0.40718801 0.17394903 0.75231537 0.30695123 0.82760364],3.8958111680681653,"{'fitness 25': 3.304934246500874, 'fitness 53': 4.046108634643952, 'fitness 74': 4.060318298314246, 'fitness 102': 4.322180959389376}",False
17,"[[0], [2], [0], [2, 0], [0, 1, 2], [3, 2, 2, 0], [1, 1, 1, 0, 0], [0, 0]]",4.052848214199755,7,((Constant/Constant**Constant)*(Constant*x[0])+x[0]**Constant),"[1, 1, 1, 2, 3, 4, 5, 2]",((0.151184830511091/0.34207179992023284**0.05374109928846982)*(0.6243193585994846*x[0])+x[0]**0.03785943934436509),[0.15118483 0.3420718  0.0537411  0.62431936 0.03785944],3.9010651234959433,"{'fitness 25': 3.3088581103297243, 'fitness 53': 4.052848214199755, 'fitness 74': 4.064974220410363, 'fitness 102': 4.329363039747742}",False
