,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [], [], [], [1], []]",5.835071605574944,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.41129347182303555 * (x[1]**0.6528263145185083) * (x[2]),[0.41129347 0.65282631],5.268924249250553,"{'fitness 25': 5.192269636103521, 'fitness 53': 5.648301933904928, 'fitness 74': 4.9662011777432085, 'fitness 102': 5.835071605574944}",False
1,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",9.523394310736752,6,((x[0]/(Constant+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 6]",((x[0]/(0.2525852960658108+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**0.41804137310894873) * (x[2]),[0.2525853  0.41804137],9.954682230230405,"{'fitness 25': 10.791687701405683, 'fitness 53': 10.15337278376685, 'fitness 74': 8.918986205518687, 'fitness 102': 9.523394310736752}",False
2,"[[0], [3], [], [], [], [1], []]",9.558254914520049,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.47004697758262715 * (x[1]**0.6245644792534636) * (x[2]),[0.47004698 0.62456448],9.086024859659279,"{'fitness 25': 9.251387594177988, 'fitness 53': 9.456327689883375, 'fitness 74': 8.550359294916476, 'fitness 102': 9.558254914520049}",False
3,"[[0], [3], [], [], [], [1], []]",12.99589684880014,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5001405543802104 * (x[1]**0.6560948329632221) * (x[2]),[0.50014055 0.65609483],14.610251366699336,"{'fitness 25': 15.362958462345755, 'fitness 53': 14.285202987555216, 'fitness 74': 14.182592650197028, 'fitness 102': 12.99589684880014}",False
4,"[[0], [1], [3, 2], [2], [0], [0, 0], [0, 0]]",13.438069187754515,6,(x[0]+(x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 2]",(x[0]+(x[0]**0.0019402610385275132)) * (x[1]**0.4686789204569798) * (x[2]),[0.00194026 0.46867892],14.189426898524081,"{'fitness 25': 15.199127189621633, 'fitness 53': 14.37970606893774, 'fitness 74': 12.989447437012865, 'fitness 102': 13.438069187754515}",False
5,"[[0], [2], [2], [2], [], [0], [0]]",13.693872352631255,6,((x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 1]",((x[0]**0.3860136391757546)**0.18954487851019708) * (x[1]**0.5730154884747974) * (x[2]),[0.38601364 0.18954488 0.57301549],14.795364356885791,"{'fitness 25': 15.234626766605215, 'fitness 53': 14.58018968549237, 'fitness 74': 14.571276618559791, 'fitness 102': 13.693872352631255}",False
6,"[[0], [2], [1], [2, 2], [2], [1, 1], []]",14.113599486040897,5,((Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 1, 2, 0]",((0.23449030144848126*0.11695186162952409)**0.3366198374184305) * (x[1]**0.6672805850833161) * (x[2]),[0.2344903  0.11695186 0.33661984 0.66728059],13.75781077906939,"{'fitness 25': 13.98555170092154, 'fitness 53': 14.084463881891505, 'fitness 74': 13.203416754395125, 'fitness 102': 14.113599486040897}",False
7,"[[0], [1], [1, 0], [0, 2, 2, 2], [3, 1, 0, 1], [0, 0, 1, 1, 1], [0, 0, 0]]",16.389336895171088,6,((x[0]/x[0]-Constant)+Constant-Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 2]",((x[0]/x[0]-0.30755581838494483)+0.197684378904178-0.2815793173200414) * (x[1]**0.5747705778582454) * (x[2]),[0.30755582 0.19768438 0.28157932 0.57477058],16.568700510154862,"{'fitness 25': 17.198021080690808, 'fitness 53': 16.80390599061671, 'fitness 74': 15.70417445915707, 'fitness 102': 16.389336895171088}",False
8,"[[0], [3], [], [], [], [1], []]",17.175728761500373,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.6071331123448234 * (x[1]**0.5728002045091473) * (x[2]),[0.60713311 0.5728002 ],17.41128617855256,"{'fitness 25': 18.077715583665498, 'fitness 53': 17.63571809466357, 'fitness 74': 16.520424857328624, 'fitness 102': 17.175728761500373}",False
9,"[[0], [3], [], [], [], [1], []]",19.31208674487305,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.9355906337724603 * (x[1]**0.5145803354749158) * (x[2]),[0.93559063 0.51458034],19.896632945444384,"{'fitness 25': 20.80406067333975, 'fitness 53': 20.062759175600945, 'fitness 74': 18.823078987392456, 'fitness 102': 19.31208674487305}",False
10,"[[0], [3], [], [], [], [1], []]",19.710368773244873,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5886873279929408 * (x[1]**0.5690203923104474) * (x[2]),[0.58868733 0.56902039],20.114301774247853,"{'fitness 25': 20.891678687838912, 'fitness 53': 20.30730582598393, 'fitness 74': 19.14392080892071, 'fitness 102': 19.710368773244873}",False
11,"[[0], [1], [2, 3], [0], [3, 2], [0, 0, 1], [0, 0]]",19.95969341060166,6,((x[0]/x[0]**Constant)*Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 2]",((x[0]/x[0]**0.734889632171743)*0.5221024019274018) * (x[1]**0.586368407566014) * (x[2]),[0.73488963 0.5221024  0.58636841],20.537347557579174,"{'fitness 25': 21.704694640355264, 'fitness 53': 20.783845803973072, 'fitness 74': 19.12350222840919, 'fitness 102': 19.95969341060166}",False
12,"[[0], [0], [2, 3], [1], [0, 2], [0, 1, 1], [0]]",19.963497738341005,6,((x[0]+Constant)**Constant)*Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((x[0]+0.08418438100875714)**0.8825205029231157)*0.58547446950341 * (x[1]**0.6142597473569148) * (x[2]),[0.08418438 0.8825205  0.58547447 0.61425975],21.019277430343525,"{'fitness 25': 22.06723646804619, 'fitness 53': 21.12417268864973, 'fitness 74': 19.866423134334653, 'fitness 102': 19.963497738341005}",False
13,"[[0], [3], [], [1, 1], [], [0], [0]]",20.32537170816076,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.5432340411228187) * (x[2]),[0.54323404],21.573771082914984,"{'fitness 25': 23.38927680111971, 'fitness 53': 21.799313733520904, 'fitness 74': 19.532722714104338, 'fitness 102': 20.32537170816076}",False
14,"[[0], [0], [2, 3], [1], [2, 2], [0, 1, 1], [0]]",21.05295291867063,6,((x[0]*Constant)**Constant)*Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((x[0]*0.2899911302141057)**0.11812447165602613)*0.36926860971379205 * (x[1]**0.7212760300926592) * (x[2]),[0.28999113 0.11812447 0.36926861 0.72127603],23.287130538579344,"{'fitness 25': 24.232434334248346, 'fitness 53': 22.89060900465965, 'fitness 74': 22.73834827683002, 'fitness 102': 21.05295291867063}",False
15,"[[0], [3], [2, 1], [], [3, 3, 0, 3], [0, 0, 1, 0, 1], [0]]",23.364611144823062,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.5094167079461023) * (x[2]),[0.50941671],24.846636532239433,"{'fitness 25': 27.15285682416531, 'fitness 53': 25.106894606463847, 'fitness 74': 22.28015816608914, 'fitness 102': 23.364611144823062}",False
16,"[[0], [2], [2, 1], [2, 0], [3, 2, 2, 3, 1], [0, 1, 0], [0, 0]]",24.97336467884545,6,((x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 1]",((x[0]**0.18794888223238593)**0.794441661506705) * (x[1]**0.4898212373829375) * (x[2]),[0.18794888 0.79444166 0.48982124],26.04864556138125,"{'fitness 25': 27.41473057343979, 'fitness 53': 26.17000478484534, 'fitness 74': 24.561201325858615, 'fitness 102': 24.97336467884545}",False
17,"[[0], [1], [3, 1], [0, 0, 2, 2], [0, 2, 0, 2], [0, 0, 1, 0, 0], [0, 0, 0, 0]]",25.70464336947923,6,(x[0]+(x[0]*Constant+x[0]*x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 4]",(x[0]+(x[0]*0.08380725420464841+x[0]*x[0])) * (x[1]**0.42118254695301727) * (x[2]),[0.08380725 0.42118255],27.58852466298423,"{'fitness 25': 30.296195439197096, 'fitness 53': 27.85070007757974, 'fitness 74': 24.618678472175866, 'fitness 102': 25.70464336947923}",False
18,"[[0], [0], [2, 1], [2, 0, 1], [3, 0, 0, 3], [0, 0, 1, 0, 1], [0, 0, 0]]",26.12381274672867,6,(x[0]**Constant)/(x[0]+Constant+(x[0]/Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 4, 5, 3]",(x[0]**0.8485845428610631)/(x[0]+0.4435732390192947+(x[0]/0.6280092090618455)) * (x[1]**0.7270827116426062) * (x[2]),[0.84858454 0.44357324 0.62800921 0.72708271],29.118301913832322,"{'fitness 25': 30.66373747279804, 'fitness 53': 28.572409478555624, 'fitness 74': 28.118758790143303, 'fitness 102': 26.12381274672867}",False
19,"[[0], [2], [3], [0, 2, 0], [3, 3, 0, 3], [0], [0]]",27.638521890570637,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 1]",(x[0]**0.13448556525924193) * (x[1]**0.595015371364992) * (x[2]),[0.13448557 0.59501537],29.664965000172113,"{'fitness 25': 30.52298672183767, 'fitness 53': 29.256185501190856, 'fitness 74': 29.215722777487816, 'fitness 102': 27.638521890570637}",False
20,"[[0], [2], [3], [0, 2], [1, 1], [1, 1, 1], []]",32.930777635558115,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 0]",(0.33809789914496013**0.2784100422376743) * (x[1]**0.49353887420923026) * (x[2]),[0.3380979  0.27841004 0.49353887],34.3040200534262,"{'fitness 25': 35.73475582473869, 'fitness 53': 34.33733449305498, 'fitness 74': 32.83996984248492, 'fitness 102': 32.930777635558115}",False
21,"[[0], [1], [1, 1], [2, 2, 1, 2], [0, 2, 0, 2], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]",35.23117453394348,6,((x[0]+x[0])*((x[0]+x[0])*x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 5]",((x[0]+x[0])*((x[0]+x[0])*x[0])) * (x[1]**0.33226125913135185) * (x[2]),[0.33226126],37.41482703309074,"{'fitness 25': 40.43669490344644, 'fitness 53': 37.73524428650921, 'fitness 74': 34.07254190931656, 'fitness 102': 35.23117453394348}",False
22,"[[0], [1], [2, 0], [0, 1, 0], [3, 1, 1, 2, 2], [0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0]]",35.783058318584246,6,((x[0]/x[0]**Constant)-(Constant-x[0])*Constant*x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 5, 6, 4]",((x[0]/x[0]**0.6899392858996981)-(0.1989195896946997-x[0])*0.33879533773535353*x[0]) * (x[1]**0.5657188708642806) * (x[2]),[0.68993929 0.19891959 0.33879534 0.56571887],37.44731675501384,"{'fitness 25': 37.897582905658, 'fitness 53': 37.163441934702405, 'fitness 74': 37.280925424681115, 'fitness 102': 35.783058318584246}",False
23,"[[0], [0], [1, 1], [0, 0, 1, 0], [3, 2, 3, 3, 2, 3, 2], [0, 1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0]]",37.41889968474736,6,(x[0]/Constant*x[0]/Constant)/((x[0]*x[0])/Constant*Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 7, 8, 4]",(x[0]/0.2785236012320891*x[0]/0.6382054722379287)/((x[0]*x[0])/0.5165832051845004*0.1823102150635535) * (x[1]**0.1001981516805589) * (x[2]),[0.2785236  0.63820547 0.51658321 0.18231022 0.10019815],39.791335636328675,"{'fitness 25': 41.88915053052648, 'fitness 53': 39.67836242628908, 'fitness 74': 37.80649395217047, 'fitness 102': 37.41889968474736}",False
24,"[[0], [3], [0, 3], [1, 2], [1, 0, 0, 1], [1, 0, 0, 1, 0], [0, 0, 0]]",40.38038945924454,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.22802637173075802 * (x[1]**0.5970390394708868) * (x[2]),[0.22802637 0.59703904],41.948756268934154,"{'fitness 25': 43.51166529483556, 'fitness 53': 41.949243600324365, 'fitness 74': 40.385359911642546, 'fitness 102': 40.38038945924454}",False
