,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
89,"[[0], [3], [], [1, 2], [3, 0, 0, 1], [1, 1, 1], [0, 0, 0]]",417.7592742877407,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.2165576147268986 * (x[1]**0.9797920119458752) * (x[2]),[0.21655761 0.97979201],458.83049473739464,"{'fitness 25': 486.11876289700774, 'fitness 53': 452.7775429290001, 'fitness 74': 437.59517838617603, 'fitness 102': 417.7592742877407}",False
90,"[[0], [3], [], [2, 0], [], [1, 1, 0], [0, 0]]",420.51922853376567,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.4717999859550509 * (x[1]**0.8888779524220469) * (x[2]),[0.47179999 0.88887795],458.1623279869071,"{'fitness 25': 483.2440070129313, 'fitness 53': 452.60570526425704, 'fitness 74': 438.6372716835331, 'fitness 102': 420.51922853376567}",False
91,"[[0], [0], [1, 1], [2, 0, 0, 1], [3, 0, 0, 3, 0, 3], [1, 1, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0]]",655.752165224573,6,(Constant/Constant+Constant)+(Constant/Constant+(x[0]/x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 2]",(0.3761812965317579/0.578608810079223+0.25837932400180086)+(0.4798204137316696/0.7856821683265552+(x[0]/x[0])) * (x[1]**0.7905849993149557) * (x[2]),[0.3761813  0.57860881 0.25837932 0.47982041 0.78568217 0.790585  ],707.2437097960332,"{'fitness 25': 742.0064871042449, 'fitness 53': 699.7135288108872, 'fitness 74': 680.0111134729672, 'fitness 102': 655.752165224573}",False
92,"[[0], [3], [], [], [], [1], []]",854.090746279168,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.9764928224791962 * (x[1]**0.879003042357227) * (x[2]),[0.97649282 0.87900304],927.5441596970412,"{'fitness 25': 977.0236879605173, 'fitness 53': 916.8753945909544, 'fitness 74': 888.7333965396516, 'fitness 102': 854.090746279168}",False
93,"[[0], [0], [3, 0], [1, 0], [2, 1, 2, 0], [1, 1, 1, 1, 0], [0]]",933.1956921537575,6,Constant*(Constant-Constant)*Constant+x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 1]",0.6316473702100749*(0.4084769358483228-0.24387483364554596)*0.2171495112449776+x[0] * (x[1]**0.8764682812537538) * (x[2]),[0.63164737 0.40847694 0.24387483 0.21714951 0.87646828],989.3823576040287,"{'fitness 25': 1011.5255749335292, 'fitness 53': 980.1377104868209, 'fitness 74': 976.4837873917361, 'fitness 102': 933.1956921537575}",False
94,"[[0], [2], [2], [2], [3, 0, 0, 3, 0, 3], [1, 1, 1], [0, 0, 0, 0, 0, 0]]",1246.73367278102,5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 0]",((0.7498893416834437**0.5656137290130248)**0.7477334244614484) * (x[1]**0.9327271342426258) * (x[2]),[0.74988934 0.56561373 0.74773342 0.93272713],1358.9304938808539,"{'fitness 25': 1434.5706349931374, 'fitness 53': 1342.7188101606837, 'fitness 74': 1299.5020364887407, 'fitness 102': 1246.73367278102}",False
95,"[[0], [2], [1, 1], [2, 1, 1, 0], [0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0]]",1521.201097095372,6,((Constant+(x[0]+x[0]))**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 2, 3, 2]",((0.9253788827154774+(x[0]+x[0]))**0.5385517122535185) * (x[1]**0.8705711545449674) * (x[2]),[0.92537888 0.53855171 0.87057115],1632.3909847561547,"{'fitness 25': 1695.2472778825963, 'fitness 53': 1615.7775694314978, 'fitness 74': 1586.1481069543704, 'fitness 102': 1521.201097095372}",False
96,"[[0], [3], [1, 1], [1, 2], [3, 0, 0, 1], [1, 0, 0, 1], [0, 0, 0]]",1603.91902651268,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.7016065051589372 * (x[1]**0.9885035996152498) * (x[2]),[0.70160651 0.9885036 ],1755.4940774595368,"{'fitness 25': 1857.6508743993222, 'fitness 53': 1733.6303219639456, 'fitness 74': 1675.2010360153424, 'fitness 102': 1603.91902651268}",False
97,"[[0], [2], [0, 3], [2, 0], [3, 0, 0, 3, 0, 3], [1, 0, 0, 1], [0, 0, 0, 0, 0, 0]]",2454.672698439622,6,(Constant/x[0]+x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 2, 3, 2]",(0.15440439197448053/x[0]+x[0]**0.3205586364226959) * (x[1]**0.9769524554604265) * (x[2]),[0.15440439 0.32055864 0.97695246],2674.0539289759995,"{'fitness 25': 2817.5022097000337, 'fitness 53': 2641.5903971221246, 'fitness 74': 2563.0691801058406, 'fitness 102': 2454.672698439622}",False
98,"[[0], [1], [1, 0], [2, 1, 1, 1], [3, 0, 0, 3, 0, 3], [1, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0]]",4013.9075174717605,6,((Constant/(x[0]+x[0]))+(Constant/Constant)+(x[0]/x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",((0.5895020906463033/(x[0]+x[0]))+(0.9542783635833144/0.9954472380908167)+(x[0]/x[0])) * (x[1]**0.9557038361661698) * (x[2]),[0.58950209 0.95427836 0.99544724 0.95570384],4405.260359620456,"{'fitness 25': 4694.219847731039, 'fitness 53': 4347.560665031753, 'fitness 74': 4174.000566098576, 'fitness 102': 4013.9075174717605}",False
99,"[[0], [1], [3, 0], [2, 1, 1, 0], [3, 2, 3, 0, 2], [1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0]]",19235.752991644633,6,(Constant/Constant*(x[0]/Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 1]",(0.6351391258863145/0.20499402141239353*(x[0]/0.10604344187824355)) * (x[1]**0.8289406801042872) * (x[2]),[0.63513913 0.20499402 0.10604344 0.82894068],20328.39149200304,"{'fitness 25': 20772.017566144677, 'fitness 53': 20147.56603824116, 'fitness 74': 20065.59087162328, 'fitness 102': 19235.752991644633}",False
