,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [], [], [], [1], []]",5.835071605574944,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.41129347182303555 * (x[1]**0.6528263145185083) * (x[2]),[0.41129347 0.65282631],5.268924249250553,"{'fitness 25': 5.192269636103521, 'fitness 53': 5.648301933904928, 'fitness 74': 4.9662011777432085, 'fitness 102': 5.835071605574944}",False
1,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",9.523394310736752,6,((x[0]/(Constant+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 6]",((x[0]/(0.2525852960658108+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**0.41804137310894873) * (x[2]),[0.2525853  0.41804137],9.954682230230405,"{'fitness 25': 10.791687701405683, 'fitness 53': 10.15337278376685, 'fitness 74': 8.918986205518687, 'fitness 102': 9.523394310736752}",False
2,"[[0], [3], [], [], [], [1], []]",9.558254914520049,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.47004697758262715 * (x[1]**0.6245644792534636) * (x[2]),[0.47004698 0.62456448],9.086024859659279,"{'fitness 25': 9.251387594177988, 'fitness 53': 9.456327689883375, 'fitness 74': 8.550359294916476, 'fitness 102': 9.558254914520049}",False
3,"[[0], [1], [3, 2], [2], [0], [0, 0], [0, 0]]",13.438069187754515,6,(x[0]+(x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 2]",(x[0]+(x[0]**0.0019402610385275132)) * (x[1]**0.4686789204569798) * (x[2]),[0.00194026 0.46867892],14.189426898524081,"{'fitness 25': 15.199127189621633, 'fitness 53': 14.37970606893774, 'fitness 74': 12.989447437012865, 'fitness 102': 13.438069187754515}",False
4,"[[0], [2], [1], [2, 2], [2], [1, 1], []]",14.113599486040897,5,((Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 1, 2, 0]",((0.23449030144848126*0.11695186162952409)**0.3366198374184305) * (x[1]**0.6672805850833161) * (x[2]),[0.2344903  0.11695186 0.33661984 0.66728059],13.75781077906939,"{'fitness 25': 13.98555170092154, 'fitness 53': 14.084463881891505, 'fitness 74': 13.203416754395125, 'fitness 102': 14.113599486040897}",False
5,"[[0], [3], [], [], [], [1], []]",17.175728761500373,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.6071331123448234 * (x[1]**0.5728002045091473) * (x[2]),[0.60713311 0.5728002 ],17.41128617855256,"{'fitness 25': 18.077715583665498, 'fitness 53': 17.63571809466357, 'fitness 74': 16.520424857328624, 'fitness 102': 17.175728761500373}",False
6,"[[0], [3], [], [], [], [1], []]",19.31208674487305,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.9355906337724603 * (x[1]**0.5145803354749158) * (x[2]),[0.93559063 0.51458034],19.896632945444384,"{'fitness 25': 20.80406067333975, 'fitness 53': 20.062759175600945, 'fitness 74': 18.823078987392456, 'fitness 102': 19.31208674487305}",False
7,"[[0], [3], [], [], [], [1], []]",19.710368773244873,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5886873279929408 * (x[1]**0.5690203923104474) * (x[2]),[0.58868733 0.56902039],20.114301774247853,"{'fitness 25': 20.891678687838912, 'fitness 53': 20.30730582598393, 'fitness 74': 19.14392080892071, 'fitness 102': 19.710368773244873}",False
8,"[[0], [1], [2, 3], [0], [3, 2], [0, 0, 1], [0, 0]]",19.95969341060166,6,((x[0]/x[0]**Constant)*Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 2]",((x[0]/x[0]**0.734889632171743)*0.5221024019274018) * (x[1]**0.586368407566014) * (x[2]),[0.73488963 0.5221024  0.58636841],20.537347557579174,"{'fitness 25': 21.704694640355264, 'fitness 53': 20.783845803973072, 'fitness 74': 19.12350222840919, 'fitness 102': 19.95969341060166}",False
9,"[[0], [0], [2, 3], [1], [2, 2], [0, 1, 1], [0]]",21.05295291867063,6,((x[0]*Constant)**Constant)*Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((x[0]*0.2899911302141057)**0.11812447165602613)*0.36926860971379205 * (x[1]**0.7212760300926592) * (x[2]),[0.28999113 0.11812447 0.36926861 0.72127603],23.287130538579344,"{'fitness 25': 24.232434334248346, 'fitness 53': 22.89060900465965, 'fitness 74': 22.73834827683002, 'fitness 102': 21.05295291867063}",False
10,"[[0], [0], [0, 3], [0, 0], [2, 1, 3, 0], [0, 1, 1, 1, 0], [0, 0]]",22.47475095034188,6,x[0]*Constant-Constant/Constant+x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 2]",x[0]*0.029085300966349648-0.06545938865920631/0.6609645158401387+x[0] * (x[1]**0.5145830992096294) * (x[2]),[0.0290853  0.06545939 0.66096452 0.5145831 ],23.90856170697306,"{'fitness 25': 26.188271436465623, 'fitness 53': 24.182437691329188, 'fitness 74': 21.35497599312437, 'fitness 102': 22.47475095034188}",False
11,"[[0], [2], [0], [1, 1], [2, 0, 3], [1, 0, 0, 1], [0, 0]]",23.26473931001087,6,((Constant*x[0])+(x[0]/Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 3, 4, 2]",((0.8314780701577009*x[0])+(x[0]/0.38032266624385047)**0.8911512218909311) * (x[1]**0.36939902415656223) * (x[2]),[0.83147807 0.38032267 0.89115122 0.36939902],25.04535769480135,"{'fitness 25': 27.477551151681514, 'fitness 53': 25.267521085528283, 'fitness 74': 22.39100084719425, 'fitness 102': 23.26473931001087}",False
12,"[[0], [1], [0, 1], [2, 0, 2, 2], [0, 2, 0, 2], [0, 0, 1, 0, 0], [0, 0, 0, 0]]",31.782243228557917,6,(x[0]+x[0]*Constant+(x[0]*x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 4]",(x[0]+x[0]*0.736624973614885+(x[0]*x[0])) * (x[1]**0.34969780717718657) * (x[2]),[0.73662497 0.34969781],33.96026301567516,"{'fitness 25': 36.65330709617262, 'fitness 53': 34.10003319997972, 'fitness 74': 31.127448750873125, 'fitness 102': 31.782243228557917}",False
13,"[[0], [0], [1, 3], [1, 1], [0, 3, 3, 0], [0, 1, 0, 1, 1], [0, 0]]",32.55427245409549,6,((x[0]+Constant)/(x[0]/Constant))+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 2]",((x[0]+0.4350624004604542)/(x[0]/0.7484209111887188))+0.24681204980470883 * (x[1]**0.6227717886837659) * (x[2]),[0.4350624  0.74842091 0.24681205 0.62277179],33.64449203858421,"{'fitness 25': 34.87318257329555, 'fitness 53': 33.716454434188705, 'fitness 74': 32.34383910826838, 'fitness 102': 32.55427245409549}",False
14,"[[0], [1], [1, 0], [0, 1, 0, 2], [2, 1, 1, 3, 0, 0], [0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0]]",34.78825268841292,6,((x[0]*Constant-(x[0]-x[0]))/Constant+x[0]+x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 5]",((x[0]*0.3440917556092222-(x[0]-x[0]))/0.028515526963701188+x[0]+x[0]) * (x[1]**0.2625440082224142) * (x[2]),[0.34409176 0.02851553 0.26254401],35.77090175023066,"{'fitness 25': 36.49850458430958, 'fitness 53': 35.75535093653509, 'fitness 74': 35.058849729847296, 'fitness 102': 34.78825268841292}",False
15,"[[0], [1], [0, 0], [0, 0, 2, 0], [0, 2, 3, 3, 1, 1], [0, 0, 1, 0, 1, 1, 1], [0, 0, 0]]",34.90856334774315,6,(x[0]+x[0]*Constant/x[0]/Constant-Constant-Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 3]",(x[0]+x[0]*0.0977227429706049/x[0]/0.648141953571065-0.0585040079583895-0.6016730422445107) * (x[1]**0.5625357503071962) * (x[2]),[0.09772274 0.64814195 0.05850401 0.60167304 0.56253575],37.31449081218883,"{'fitness 25': 40.74921293532032, 'fitness 53': 37.49122871054106, 'fitness 74': 33.703030790705114, 'fitness 102': 34.90856334774315}",False
16,"[[0], [0], [2, 1], [0, 2, 0], [3, 3, 0, 3], [0, 0, 1, 0, 1], [0, 0, 0]]",42.75859453715605,6,(x[0]/x[0]**Constant)/(Constant+x[0]/Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 4, 5, 3]",(x[0]/x[0]**0.641986838578923)/(0.761718415528146+x[0]/0.5556448281226977) * (x[1]**0.5155427213079713) * (x[2]),[0.64198684 0.76171842 0.55564483 0.51554272],44.50151931029169,"{'fitness 25': 46.06169751203758, 'fitness 53': 44.447651804829945, 'fitness 74': 42.995208614007566, 'fitness 102': 42.75859453715605}",False
17,"[[0], [0], [1, 3], [0, 2], [3, 1, 0], [0, 0, 1, 1], [0, 0]]",42.887859299840215,6,(x[0]/x[0]-Constant)+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",(x[0]/x[0]-0.28948872057490016)+0.6415697934000614 * (x[1]**0.45128393599276617) * (x[2]),[0.28948872 0.64156979 0.45128394],44.86560848829739,"{'fitness 25': 46.708520751524595, 'fitness 53': 44.80574005030773, 'fitness 74': 43.082564663059834, 'fitness 102': 42.887859299840215}",False
18,"[[0], [3], [], [], [], [1], []]",43.431455220909406,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.07148203282206711 * (x[1]**0.7167033558899156) * (x[2]),[0.07148203 0.71670336],45.00229369433089,"{'fitness 25': 46.56709370222971, 'fitness 53': 45.001546481311486, 'fitness 74': 43.43824089945146, 'fitness 102': 43.431455220909406}",False
19,"[[0], [3], [], [], [], [1], []]",44.37374640804045,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.49059399705549256 * (x[1]**0.47756639337195683) * (x[2]),[0.490594   0.47756639],46.35578874518884,"{'fitness 25': 48.202143390251265, 'fitness 53': 46.29442148504955, 'fitness 74': 44.57080136026568, 'fitness 102': 44.37374640804045}",False
20,"[[0], [2], [1], [0, 2], [1, 2], [0, 0, 1], [0, 0]]",49.86869548466004,6,((x[0]-x[0]*Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 2, 3, 2]",((x[0]-x[0]*0.4489123437152245)**0.2038022451011885) * (x[1]**0.3561923559835347) * (x[2]),[0.44891234 0.20380225 0.35619236],52.26889266660848,"{'fitness 25': 54.44713124643729, 'fitness 53': 52.15659067062785, 'fitness 74': 50.2029560827603, 'fitness 102': 49.86869548466004}",False
21,"[[0], [0], [3, 2], [0], [2, 2], [0, 1, 0], [0, 0]]",50.204752536719106,6,x[0]*(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 2]",x[0]*(0.3316132934616943*x[0]**0.32877510061051063) * (x[1]**0.4701207723921714) * (x[2]),[0.33161329 0.3287751  0.47012077],52.67548119418637,"{'fitness 25': 55.09323322843403, 'fitness 53': 52.597283084503296, 'fitness 74': 50.33592726962176, 'fitness 102': 50.204752536719106}",False
22,"[[0], [0], [3, 2], [0], [3, 2], [0, 1, 1], [0]]",50.4890568589531,5,x[0]/(Constant*Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",x[0]/(0.36039596968018794*0.04397809098277938**0.33040628055769383) * (x[1]**0.08597162895588006) * (x[2]),[0.36039597 0.04397809 0.33040628 0.08597163],53.192409719177164,"{'fitness 25': 55.68426135615628, 'fitness 53': 53.075316673192, 'fitness 74': 50.817651128183215, 'fitness 102': 50.4890568589531}",False
23,"[[0], [3], [], [], [], [0], [0]]",51.93122231724709,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.31571511882753733) * (x[2]),[0.31571512],54.509164634605476,"{'fitness 25': 56.91040895199522, 'fitness 53': 54.397814345197226, 'fitness 74': 52.219270606623994, 'fitness 102': 51.93122231724709}",False
