,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
67,"[[0], [0], [3, 0], [2, 3], [1], [2, 1, 3], [1, 0, 1, 1], [1]]",153.4852683407969,7,Constant*((x[1]-Constant)**Constant)/Constant,"[1, 1, 2, 2, 1, 3, 4, 1]",0.1718451846284711*((x[1]-0.7475579357857818)**0.4410259175179452)/0.03758855662634064,[0.17184518 0.74755794 0.44102592 0.03758856],160.75375349475905,"{'fitness 25': 165.95353037013393, 'fitness 53': 159.6669776729788, 'fitness 74': 156.64075244116444, 'fitness 102': 153.4852683407969}",False
68,"[[0], [2], [1], [2, 2], [1, 0], [0, 0, 3], [1, 0, 0, 1], [0, 1]]",190.8815434189216,7,((((Constant+x[0])**Constant)+(x[1]/Constant**Constant))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((((0.3531784230214394+x[0])**0.29891329179456005)+(x[1]/0.12955684847623916**0.8174507909206422))**0.5417034876548976),[0.35317842 0.29891329 0.12955685 0.81745079 0.54170349],201.55274623098975,"{'fitness 25': 209.07334280494052, 'fitness 53': 199.98182098530455, 'fitness 74': 195.60307490272416, 'fitness 102': 190.8815434189216}",False
69,"[[0], [2], [3], [], [], [], [0], [1]]",208.85083432922335,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.6614077509171638),[0.66140775],222.67103078860313,"{'fitness 25': 232.26570233962696, 'fitness 53': 220.65363003341685, 'fitness 74': 215.0937599927656, 'fitness 102': 208.85083432922335}",False
70,"[[0], [0], [3, 1], [0, 2], [2, 2, 1], [2, 0, 2, 0], [0, 1, 1, 0, 0], [0, 0, 1]]",225.32296813024075,7,x[0]*(Constant+Constant*((x[0]+x[1])**Constant)),"[1, 1, 2, 2, 3, 4, 5, 3]",x[0]*(0.7865419791901207+0.21124264106983237*((x[0]+x[1])**0.8457729570163683)),[0.78654198 0.21124264 0.84577296],238.3541096763075,"{'fitness 25': 243.66114967517655, 'fitness 53': 236.19943948652946, 'fitness 74': 235.20173986721642, 'fitness 102': 225.32296813024075}",False
71,"[[0], [2], [0], [2, 0], [0, 2, 2], [1, 2, 1], [1, 0, 0, 1], [0, 1]]",351.50538653950406,7,((Constant-x[0]**Constant)*x[1]-Constant**Constant),"[1, 1, 1, 2, 3, 3, 4, 2]",((0.9875814316561428-x[0]**0.3167866599715161)*x[1]-0.3549489842987307**0.21140955732356093),[0.98758143 0.31678666 0.35494898 0.21140956],401.65724441019955,"{'fitness 25': 457.8066466456477, 'fitness 53': 390.20890843549836, 'fitness 74': 356.95617814945274, 'fitness 102': 351.50538653950406}",False
72,"[[0], [0], [2, 3], [3], [], [2], [0, 0], [1, 0]]",417.5512920525712,6,(x[1]**Constant)*x[0],"[1, 1, 2, 1, 0, 1, 2, 2]",(x[1]**0.7347816776292558)*x[0],[0.73478168],438.97221570403127,"{'fitness 25': 447.5401946580518, 'fitness 53': 435.2794483719851, 'fitness 74': 434.097004082057, 'fitness 102': 417.5512920525712}",False
73,"[[0], [0], [0, 2], [0, 0, 0], [1, 0, 1, 1, 2, 0], [2, 3, 1, 2, 1, 1, 1, 1, 1, 2], [1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 0, 1, 1]]",618.832191915732,7,(Constant*Constant)/Constant-x[0]*(Constant-Constant)-(x[0]-Constant)-(x[1]-x[1]*Constant**Constant),"[1, 1, 2, 3, 6, 10, 11, 4]",(0.8137682675330863*0.3870180289897096)/0.7462327471082244-x[0]*(0.043739467349221406-0.12102989804989606)-(x[0]-0.2989802773297272)-(x[1]-x[1]*0.790752324430343**0.7766234103319001),"[0.81376827 0.38701803 0.74623275 0.04373947 0.1210299  0.29898028
 0.79075232 0.77662341]",676.0597814353438,"{'fitness 25': 714.829948840902, 'fitness 53': 667.9079996501434, 'fitness 74': 645.4413958149859, 'fitness 102': 618.832191915732}",False
74,"[[0], [2], [2], [0], [2, 0], [0, 0], [1, 0, 1], [1]]",1189.0306734616995,7,((Constant+x[1]+Constant**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 1]",((0.3298251866320726+x[1]+0.9328328108160487**0.40479732528970813)**0.8668252669364824),[0.32982519 0.93283281 0.40479733 0.86682527],1286.6468640603623,"{'fitness 25': 1353.1879520484406, 'fitness 53': 1272.671444199212, 'fitness 74': 1234.0811959334344, 'fitness 102': 1189.0306734616995}",False
75,"[[0], [0], [0, 0], [0, 2, 1, 0], [1, 2, 2, 2, 0, 1, 0], [3, 2, 2, 1, 2, 3, 2, 2, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1], [1]]",1662.0381483222209,7,(Constant/Constant)*Constant*(Constant**Constant)-(x[1]*Constant/Constant)*(Constant*Constant)-Constant-Constant,"[1, 1, 2, 4, 7, 10, 11, 1]",(0.00846024427754255/0.0174858161440975)*0.9517028895418405*(0.217823181965778**0.8335154942228152)-(x[1]*0.680463402741224/0.23799427977615284)*(0.9362221607950204*0.16774181677225675)-0.3774956553619373-0.9267212878946889,"[0.00846024 0.01748582 0.95170289 0.21782318 0.83351549 0.6804634
 0.23799428 0.93622216 0.16774182 0.37749566 0.92672129]",1816.4158164392693,"{'fitness 25': 1921.0313052720069, 'fitness 53': 1794.3624535393924, 'fitness 74': 1733.8536905064088, 'fitness 102': 1662.0381483222209}",False
76,"[[0], [0], [1, 3], [3, 1], [0, 2], [2, 0, 3, 3], [1, 0, 1, 1, 0], [1, 0]]",1876.648733841305,7,(Constant*(x[1]+Constant/Constant))/x[0],"[1, 1, 2, 2, 2, 4, 5, 2]",(0.45278467764763*(x[1]+0.37667183713277974/0.7125875923039573))/x[0],[0.45278468 0.37667184 0.71258759],2155.384740741403,"{'fitness 25': 2442.849275364168, 'fitness 53': 2106.0953911679267, 'fitness 74': 1917.2095556921154, 'fitness 102': 1876.648733841305}",False
77,"[[0], [0], [2, 2], [3, 0], [1, 0], [1, 3, 1, 2], [1, 1, 0, 0, 1], [0, 1]]",2095.9529819341215,7,(Constant**Constant)-((Constant/x[0])-x[1]*Constant**Constant),"[1, 1, 2, 2, 2, 4, 5, 2]",(0.18639921509526602**0.7127469914635537)-((0.04316283543954935/x[0])-x[1]*0.4983592596012991**0.8108411505688724),[0.18639922 0.71274699 0.04316284 0.49835926 0.81084115],2291.635560409711,"{'fitness 25': 2424.2265815722394, 'fitness 53': 2263.592622679341, 'fitness 74': 2187.087476977553, 'fitness 102': 2095.9529819341215}",False
78,"[[0], [0], [1, 3], [0, 3], [0, 0], [2, 3, 3, 0, 2], [1, 0, 0, 0, 0, 1], [1, 0, 1, 1]]",2133.285352381206,7,(Constant*x[1]/x[0]/x[1]+x[1])*Constant,"[1, 1, 2, 2, 2, 5, 6, 4]",(0.40203235817942506*x[1]/x[0]/x[1]+x[1])*0.5786431878509634,[0.40203236 0.57864319],2332.4513667332462,"{'fitness 25': 2467.409107641063, 'fitness 53': 2303.910939150861, 'fitness 74': 2226.034053407814, 'fitness 102': 2133.285352381206}",False
79,"[[0], [2], [0], [1, 2], [2, 2, 1], [2, 1, 2], [1, 0, 1, 0], [1, 0]]",2531.4413144110604,7,((Constant*x[1])-((Constant*x[0])**Constant)**Constant),"[1, 1, 1, 2, 3, 3, 4, 2]",((0.6867128671929638*x[1])-((0.43871429297265296*x[0])**0.4995599259234137)**0.7439551380908255),[0.68671287 0.43871429 0.49955993 0.74395514],2767.777073302214,"{'fitness 25': 2927.9168758478636, 'fitness 53': 2733.917487686821, 'fitness 74': 2641.496856371958, 'fitness 102': 2531.4413144110604}",False
80,"[[0], [1], [3, 1], [2, 0], [0, 1, 1], [2, 2, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0]]",2779.3824179843605,7,(Constant*((Constant*x[1]**Constant)+(x[0]+x[1])+(x[0]-Constant))),"[1, 1, 2, 2, 3, 6, 7, 4]",(0.69836155191757*((0.9434574035431519*x[1]**0.7072780045207333)+(x[0]+x[1])+(x[0]-0.013706997910655216))),[0.69836155 0.9434574  0.707278   0.013707  ],3033.597329795702,"{'fitness 25': 3206.005666630933, 'fitness 53': 2997.179288488865, 'fitness 74': 2897.607034267308, 'fitness 102': 2779.3824179843605}",False
81,"[[0], [1], [1, 3], [2, 1], [0, 2, 1], [2, 2, 1, 1, 3], [1, 0, 0, 1, 1, 1], [1, 0]]",3399.419754380752,7,(((Constant*x[1]**Constant)*(x[0]-(Constant-Constant)))/Constant),"[1, 1, 2, 2, 3, 5, 6, 2]",(((0.8351680663803092*x[1]**0.9675724723742216)*(x[0]-(0.257523184357097-0.23348732594781862)))/0.7301024553375884),[0.83516807 0.96757247 0.25752318 0.23348733 0.73010246],3616.304859528998,"{'fitness 25': 3705.110498247402, 'fitness 53': 3582.1750377777057, 'fitness 74': 3561.6290425618845, 'fitness 102': 3399.419754380752}",False
82,"[[0], [0], [2, 1], [3, 0, 2], [2, 2, 0], [1, 0, 3, 2], [0, 0, 1, 0, 1], [1, 1, 0]]",3482.1516074551273,7,(x[1]**Constant)-(x[1]+Constant/(x[0]*Constant**Constant)),"[1, 1, 2, 3, 3, 4, 5, 3]",(x[1]**0.6639716416297999)-(x[1]+0.2267938069170713/(x[0]*0.3919376753447149**0.7847897559439402)),[0.66397164 0.22679381 0.39193768 0.78478976],3812.2718320979952,"{'fitness 25': 4035.7710481854756, 'fitness 53': 3765.0665495897497, 'fitness 74': 3635.9778985187604, 'fitness 102': 3482.1516074551273}",False
83,"[[0], [1], [0, 0], [3, 0, 0, 0], [0, 2, 0, 0, 2, 2], [3, 3, 3, 2, 1, 2, 0, 1, 1], [1, 0, 0, 1, 1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0]]",3545.454901516177,7,(Constant/x[0]/x[0]/Constant*Constant-x[1]*Constant+x[0]-x[0]-x[0]),"[1, 1, 2, 4, 6, 9, 10, 6]",(0.6909148537786883/x[0]/x[0]/0.383662148985899*0.2519058873995459-x[1]*0.9593337076974969+x[0]-x[0]-x[0]),[0.69091485 0.38366215 0.25190589 0.95933371],3875.3517784270866,"{'fitness 25': 4098.853314472923, 'fitness 53': 3828.172153872741, 'fitness 74': 3699.0298669355957, 'fitness 102': 3545.454901516177}",False
