,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
63,"[[0], [1], [3, 3], [2, 3, 3], [2, 1, 2], [2, 3, 0, 0, 0, 3, 1, 3], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0]]",4.666483005611482,"[1, 1, 2, 0, 0, 1, 2, 2]",5,(x[0]*x[0]),(x[0]*x[0]),[],4.132724306198662,"{'fitness 25': 3.6333213343516286, 'fitness 53': 4.38216341691902, 'fitness 74': 4.382688167325337, 'fitness 102': 4.666483005611482}",False
64,"[[0], [1], [2, 3], [0, 3, 3, 1], [2, 2, 1, 0], [3, 3, 3, 0, 0, 3, 1, 3], [1, 1, 1, 0], [1, 0, 1, 0]]",4.715677562388676,"[1, 1, 2, 1, 2, 2, 3, 0]",6,((Constant/Constant**Constant)/Constant),((0.28501199850517167/0.719250357957533**0.6888026472650404)/0.6092011226919891),[0.285012   0.71925036 0.68880265 0.60920112],4.203991101823381,"{'fitness 25': 3.717523200618758, 'fitness 53': 4.436766094077506, 'fitness 74': 4.457684010773882, 'fitness 102': 4.715677562388676}",False
65,"[[0], [0], [2, 3], [1, 3, 2, 0], [0, 1, 2, 0, 2, 2], [3, 3, 0, 3, 0, 3, 1, 3], [0, 1, 1, 0, 1, 1, 1], [0, 1, 0, 0, 0]]",4.730630492100295,"[1, 1, 2, 1, 2, 4, 5, 2]",7,((x[0]/Constant/(Constant+x[1]))**Constant)/Constant,((x[0]/0.631754629720519/(0.6368509177706276+x[1]))**0.20206380458759676)/0.3824395915437804,[0.63175463 0.63685092 0.2020638  0.38243959],4.232955016907973,"{'fitness 25': 3.759678736464755, 'fitness 53': 4.464052174806163, 'fitness 74': 4.475134139453001, 'fitness 102': 4.730630492100295}",False
66,"[[0], [1], [1, 2], [2, 3, 3], [1, 1, 1, 2], [0, 2, 3], [1, 1, 1, 1, 1, 1, 0, 1, 0], [0, 0, 0, 0]]",4.750881410294491,"[1, 1, 2, 3, 1, 3, 4, 0]",6,((((Constant+Constant)**Constant)*Constant)/(Constant**Constant)),((((0.009845746326659799+0.033290010211004084)**0.31834703193329694)*0.8092823377887479)/(0.5432266675847416**0.9911567961601148)),[0.00984575 0.03329001 0.31834703 0.80928234 0.54322667 0.9911568 ],4.2398158114458075,"{'fitness 25': 3.7544129241974487, 'fitness 53': 4.47179505668863, 'fitness 74': 4.493239453451341, 'fitness 102': 4.750881410294491}",False
67,"[[0], [0], [2, 1], [2, 0, 1], [1, 1, 0, 0, 1], [3, 3, 0, 3, 3, 2, 2, 0, 2], [0, 0, 0, 1, 1, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0]]",4.780401501846846,"[1, 1, 2, 3, 5, 9, 10, 4]",7,(((x[0]/x[0])**Constant)**Constant)/((x[0]+Constant)/Constant/Constant*(x[0]*Constant+(Constant*Constant))),(((x[0]/x[0])**0.4658633449162153)**0.30930529394802564)/((x[0]+0.1023726966484938)/0.2767519669931794/0.5558003495377134*(x[0]*0.6125882065548702+(0.4517895880760616*0.022690929135394833))),"[0.46586334 0.30930529 0.1023727  0.27675197 0.55580035 0.61258821
 0.45178959 0.02269093]",4.2925007894125855,"{'fitness 25': 3.8243204846524823, 'fitness 53': 4.500785944125266, 'fitness 74': 4.552395939460009, 'fitness 102': 4.780401501846846}",False
68,"[[0], [1], [2, 1], [2, 0, 1], [1, 2, 1, 0, 1, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",4.816618917662828,"[1, 1, 2, 3, 5, 8, 9, 6]",7,((((Constant/Constant)**Constant)**Constant)/(x[0]+(x[0]+x[0])+(Constant/x[0]-(x[0]/x[0])))),((((0.19407002769206871/0.6888296598603839)**0.2116039610935616)**0.6227355617545048)/(x[0]+(x[0]+x[0])+(0.43363900214021645/x[0]-(x[0]/x[0])))),[0.19407003 0.68882966 0.21160396 0.62273556 0.433639  ],4.314209127213439,"{'fitness 25': 3.83537989403745, 'fitness 53': 4.540189956902214, 'fitness 74': 4.5670575307006525, 'fitness 102': 4.816618917662828}",False
69,"[[0], [3], [0, 0], [1, 2, 2], [1, 2, 0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 1, 1, 1, 0, 1, 0], [0, 0, 0, 1]]",4.822550370285509,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.4589669912184414,[0.45896699],4.312751477225995,"{'fitness 25': 3.829491046541268, 'fitness 53': 4.543139623407924, 'fitness 74': 4.565623761728795, 'fitness 102': 4.822550370285509}",False
70,"[[0], [2], [2, 3], [0], [0, 1, 2, 0, 2, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [1, 0]]",4.86438505994954,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((Constant/Constant/(x[1]+x[0])**Constant)**Constant),((0.3118260802168188/0.7819464255320908/(x[1]+x[0])**0.670377803212118)**0.14693387048735085),[0.31182608 0.78194643 0.6703778  0.14693387],4.361258092552557,"{'fitness 25': 3.8844453351693042, 'fitness 53': 4.589526804193434, 'fitness 74': 4.609802138294932, 'fitness 102': 4.86438505994954}",False
71,"[[0], [0], [2, 3], [2, 0, 1], [0, 2], [3, 3, 0, 2, 3, 2, 2, 0, 2], [1, 1, 0, 0], [0, 0, 0, 0, 0]]",4.992600819935263,"[1, 1, 2, 1, 1, 2, 3, 1]",6,((Constant/Constant**Constant)**Constant)/x[0],((0.0015172203935368556/0.15598664790140404**0.8651125574454754)**0.355930422250171)/x[0],[0.00151722 0.15598665 0.86511256 0.35593042],4.4919812015809635,"{'fitness 25': 4.01778623034343, 'fitness 53': 4.713132415647511, 'fitness 74': 4.74502495875195, 'fitness 102': 4.992600819935263}",False
72,"[[0], [2], [2], [0], [0, 2, 0, 0], [3, 2, 2, 0, 0, 3, 1, 3], [1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0]]",5.07826175664988,"[1, 1, 1, 1, 2, 2, 3, 1]",7,((Constant/x[1]*Constant**Constant)**Constant),((0.6116911325801678/x[1]*0.46232090173195795**0.6848353158700555)**0.21242003392729847),[0.61169113 0.4623209  0.68483532 0.21242003],4.577881165355689,"{'fitness 25': 4.106242730954683, 'fitness 53': 4.80193566890537, 'fitness 74': 4.825465096207015, 'fitness 102': 5.07826175664988}",False
