,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [2], [0], [0, 1, 0, 0], [0, 2, 3], [1, 1, 0, 0], [1, 0]]",2.8290084756167424,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((Constant+Constant*(x[1]/x[0])**Constant)**Constant),((0.07645362467513916+0.8170569815324102*(x[1]/x[0])**0.2560249437977299)**0.6585763492736472),[0.07645362 0.81705698 0.25602494 0.65857635],2.2955740190766365,"{'fitness 25': 1.7477173479501917, 'fitness 53': 2.5691895981534474, 'fitness 74': 2.56981511112627, 'fitness 102': 2.8290084756167424}",False
1,"[[0], [0], [2, 1], [0, 0, 1], [2, 2, 1, 0, 1, 2], [1, 3, 2, 2, 3, 3, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0]]",2.8710136905505346,"[1, 1, 2, 3, 6, 8, 9, 4]",7,(x[1]-Constant**Constant)/((Constant*x[0])*x[1]/Constant/((x[0]+Constant)+Constant)),(x[1]-0.40048716413222785**0.714848178465101)/((0.6803266720788544*x[0])*x[1]/0.8916568234811325/((x[0]+0.7042758706660278)+0.12067271020759052)),[0.40048716 0.71484818 0.68032667 0.89165682 0.70427587 0.12067271],2.368681233699216,"{'fitness 25': 1.8470741023697688, 'fitness 53': 2.6194754981625574, 'fitness 74': 2.639494100565322, 'fitness 102': 2.8710136905505346}",False
2,"[[0], [1], [2, 1], [3, 1, 2], [1, 2, 1, 1], [0, 3, 0, 3, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0]]",2.9463433447850584,"[1, 1, 2, 3, 3, 5, 6, 4]",7,((Constant**Constant)+(((x[0]/Constant)+x[0])/((x[0]+x[0])**Constant))),((0.4597791233139932**0.03375962260040255)+(((x[0]/0.269905055882778)+x[0])/((x[0]+x[0])**0.7700091028296387))),[0.45977912 0.03375962 0.26990506 0.7700091 ],2.4989530758497707,"{'fitness 25': 2.03802167313944, 'fitness 53': 2.757405061303946, 'fitness 74': 2.701432493105927, 'fitness 102': 2.9463433447850584}",False
3,"[[0], [2], [2], [2], [0], [1], [0, 0], [1, 0]]",3.0689713792141493,"[1, 1, 1, 1, 1, 1, 2, 2]",7,(((x[1]-x[0]**Constant)**Constant)**Constant),(((x[1]-x[0]**0.46281937674355955)**0.23514655878531232)**0.6171859181683896),[0.46281938 0.23514656 0.61718592],2.527968128102426,"{'fitness 25': 1.9773657323458118, 'fitness 53': 2.8058427865008704, 'fitness 74': 2.8006958654605967, 'fitness 102': 3.0689713792141493}",False
4,"[[0], [1], [1, 1], [0, 3, 3, 1], [2, 0, 2, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0]]",3.089069179427474,"[1, 1, 2, 4, 4, 6, 7, 3]",7,((x[0]/x[0]/Constant+x[0])+(Constant+(Constant/Constant))),((x[0]/x[0]/0.6915894284365618+x[0])+(0.9658959788009509+(0.041077163055267985/0.6600045995737421))),[0.69158943 0.96589598 0.04107716 0.6600046 ],2.6195763593936676,"{'fitness 25': 2.1408617849873046, 'fitness 53': 2.882292762957857, 'fitness 74': 2.8355745302358417, 'fitness 102': 3.089069179427474}",False
5,"[[0], [2], [1], [2, 1], [2, 2, 2], [0, 1], [0, 0, 0], [1, 1, 1]]",3.286338287535765,"[1, 1, 1, 2, 3, 2, 3, 3]",7,(((x[1]**Constant)+(x[1]-x[1]))**Constant),(((x[1]**0.19331917512993446)+(x[1]-x[1]))**0.6389932208471342),[0.19331918 0.63899322],2.7305917408939187,"{'fitness 25': 2.1717558124839282, 'fitness 53': 3.008730095473244, 'fitness 74': 3.0112893147245843, 'fitness 102': 3.286338287535765}",False
6,"[[0], [2], [2], [0, 1], [1, 2], [3, 3, 2, 2, 3, 3, 2], [0, 1, 0, 0, 1, 1, 0, 0], [0, 1, 0, 1, 0]]",3.3840272039633335,"[1, 1, 1, 1, 2, 2, 3, 2]",7,(((x[0]/Constant)/x[1]**Constant)**Constant),(((x[0]/0.017431990461360902)/x[1]**0.1790177445349027)**0.40841460443484523),[0.01743199 0.17901774 0.4084146 ],2.8937865983877984,"{'fitness 25': 2.404102833188124, 'fitness 53': 3.163374288325777, 'fitness 74': 3.1138826736494933, 'fitness 102': 3.3840272039633335}",False
7,"[[0], [2], [2], [2], [2], [1], [0, 0], [1, 0]]",3.657698362271117,"[1, 1, 1, 1, 1, 0, 1, 1]",7,(((x[1]**Constant)**Constant)**Constant),(((x[1]**0.7215415936051103)**0.7792277668762324)**0.15706382160614896),[0.72154159 0.77922777 0.15706382],3.1087658464062415,"{'fitness 25': 2.567173678845999, 'fitness 53': 3.374994410306418, 'fitness 74': 3.384129450066308, 'fitness 102': 3.657698362271117}",False
8,"[[0], [0], [1, 0], [0, 3, 3, 1], [0, 0, 1, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0]]",3.732643679911882,"[1, 1, 2, 4, 4, 8, 9, 4]",7,(x[0]/x[0]/Constant+x[0]+Constant)+Constant/((Constant-x[0])/Constant),(x[0]/x[0]/0.6940414430383497+x[0]+0.8592291797126131)+0.25629802395487145/((0.7594579179907395-x[0])/0.7420096963524363),[0.69404144 0.85922918 0.25629802 0.75945792 0.7420097 ],3.1937760923363085,"{'fitness 25': 2.4568640731236155, 'fitness 53': 3.583531248558811, 'fitness 74': 3.5409329553264994, 'fitness 102': 3.732643679911882}",False
9,"[[0], [2], [2, 1], [1, 3, 0], [2, 2, 1, 0, 1, 2], [2, 3, 3, 0, 2, 3], [1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1]]",3.8381034318635727,"[1, 1, 1, 1, 2, 1, 2, 1]",7,(((Constant*x[1])**Constant)**Constant),(((0.8773928690452365*x[1])**0.1468838478232466)**0.48399183750532304),[0.87739287 0.14688385 0.48399184],3.2964232242230658,"{'fitness 25': 2.7661879543346855, 'fitness 53': 3.555938744102714, 'fitness 74': 3.5671429742317993, 'fitness 102': 3.8381034318635727}",False
10,"[[0], [2], [2], [0], [2, 0], [1, 0], [1, 0, 0], [0, 1]]",3.9265658050147856,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((Constant-x[0]+x[1]**Constant)**Constant),((0.4331443016787656-x[0]+x[1]**0.10831657159007135)**0.6707262302935794),[0.4331443  0.10831657 0.67072623],3.390866970936512,"{'fitness 25': 2.866602510010133, 'fitness 53': 3.6421568283457306, 'fitness 74': 3.6638415744536723, 'fitness 102': 3.9265658050147856}",False
11,"[[0], [0], [2, 1], [2, 0, 1], [1, 2, 1, 1, 1], [0, 0, 2, 0, 1, 0, 2, 2], [1, 1, 1, 1, 1, 1, 0, 1, 0], [0, 0]]",3.929732597356313,"[1, 1, 2, 3, 5, 8, 9, 2]",7,(((Constant+Constant)**Constant)**Constant)+(Constant*(Constant+Constant)-((Constant+x[0])*(Constant*x[0]))),(((0.11680029212125753+0.8569783503343181)**0.3731920003208298)**0.8271100954806179)+(0.531866225784974*(0.3603087342565975+0.7977789128485563)-((0.45016807218010657+x[0])*(0.028681869733094167*x[0]))),"[0.11680029 0.85697835 0.373192   0.8271101  0.53186623 0.36030873
 0.79777891 0.45016807 0.02868187]",3.406650883639936,"{'fitness 25': 2.895582946734611, 'fitness 53': 3.6590263549204702, 'fitness 74': 3.665343349264728, 'fitness 102': 3.929732597356313}",False
12,"[[0], [2], [1], [2, 1], [2, 2, 2], [0, 1], [0, 0, 0], [1, 1, 1]]",3.9500129477151886,"[1, 1, 1, 2, 3, 2, 3, 3]",7,(((x[1]**Constant)+(x[1]-x[1]))**Constant),(((x[1]**0.2884364772944471)+(x[1]-x[1]))**0.1996321235017593),[0.28843648 0.19963212],3.413674299141727,"{'fitness 25': 2.8909878180077087, 'fitness 53': 3.668987930363368, 'fitness 74': 3.6810471490541037, 'fitness 102': 3.9500129477151886}",False
13,"[[0], [1], [1, 0], [0, 3, 3, 1], [0, 0, 1, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 1, 1, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",3.9590949947479097,"[1, 1, 2, 4, 4, 8, 9, 4]",7,((x[0]/Constant/Constant+x[0]+x[0])+Constant/((Constant-x[0])/Constant)),((x[0]/0.43163476278589563/0.9071029765469862+x[0]+x[0])+0.7238174230058076/((0.9796153222704889-x[0])/0.39903963902657014)),[0.43163476 0.90710298 0.72381742 0.97961532 0.39903964],4.455442488735543,"{'fitness 25': 4.086094732777866, 'fitness 53': 4.2508447351129615, 'fitness 74': 5.029387998315802, 'fitness 102': 3.9590949947479097}",False
14,"[[0], [2], [1], [1, 3], [1, 1, 1, 0], [3, 3, 0, 3, 0, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0], [0, 0, 0]]",3.995347515776212,"[1, 1, 1, 2, 2, 4, 5, 1]",7,((((Constant/x[0])/(Constant+Constant))/Constant)**Constant),((((0.9949851149062328/x[0])/(0.6523169396328016+0.30370079190432664))/0.05270993550102421)**0.11878359756422041),[0.99498511 0.65231694 0.30370079 0.05270994 0.1187836 ],3.4754538310389997,"{'fitness 25': 2.9682341164333765, 'fitness 53': 3.723336175182353, 'fitness 74': 3.7347912015012703, 'fitness 102': 3.995347515776212}",False
15,"[[0], [1], [3, 3], [3, 1, 1], [1, 2, 1, 0], [3, 3, 0, 3, 0, 0, 0], [1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 0]]",4.028381985122443,"[1, 1, 2, 0, 0, 1, 2, 1]",5,(Constant/x[0]),(0.9499656186604654/x[0]),[0.94996562],3.537790893972632,"{'fitness 25': 3.054024898392704, 'fitness 53': 3.7555385116533246, 'fitness 74': 3.8038092718718683, 'fitness 102': 4.028381985122443}",False
