,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
1,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
2,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
3,"[[0], [3], [], [], [], [1], []]",7.278118829960528,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
4,"[[0], [3], [], [], [], [1], []]",9.947581112307997,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.15357796331562568 * (x[1]**0.7840693902702551) * (x[2]),[0.15357796 0.78406939],9.776680054427707,"{'fitness 25': 10.57238310437892, 'fitness 53': 9.947581112307997, 'fitness 74': 9.762388928829125, 'fitness 102': 8.995268130075075}",False
5,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",10.78618064808837,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.15225325829536152**0.733770861028748)**0.6851647384223502) * (x[1]**0.6797062053798113) * (x[2]),[0.15225326 0.73377086 0.68516474 0.67970621],10.666011099508133,"{'fitness 25': 11.616462930549263, 'fitness 53': 10.78618064808837, 'fitness 74': 10.682511310158432, 'fitness 102': 9.699059057816706}",False
6,"[[0], [3], [], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",11.26511929549609,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8660026206272994 * (x[1]**0.5473209800030002) * (x[2]),[0.86600262 0.54732098],10.891844781844071,"{'fitness 25': 11.491383434238326, 'fitness 53': 11.26511929549609, 'fitness 74': 10.179264324078979, 'fitness 102': 11.004886587214912}",False
7,"[[0], [2], [3], [], [0], [1], []]",11.98304699475934,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5959993675531109**0.7926372563410709) * (x[1]**0.5770245894582724) * (x[2]),[0.59599937 0.79263726 0.57702459],11.623469618813763,"{'fitness 25': 12.12478355402343, 'fitness 53': 11.98304699475934, 'fitness 74': 10.946438485979069, 'fitness 102': 11.799186816438786}",False
8,"[[0], [2], [3], [], [0], [1], []]",12.521431056756521,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.8627655386453202**0.23370661495345812) * (x[1]**0.5743761173749851) * (x[2]),[0.86276554 0.23370661 0.57437612],12.47450863602086,"{'fitness 25': 13.255933431116832, 'fitness 53': 12.521431056756521, 'fitness 74': 12.5010763450233, 'fitness 102': 11.666516131922451}",False
9,"[[0], [2], [0, 1], [1, 0], [3, 0, 0, 0, 3, 3], [1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0]]",13.698904989057336,"[1, 1, 1, 2, 3, 4, 3]",6,((Constant/x[0])+x[0]+x[0]**Constant) * (x[1]**Constant) * (x[2]),((0.9379729371813721/x[0])+x[0]+x[0]**0.32825884710089415) * (x[1]**0.43457199757420095) * (x[2]),[0.93797294 0.32825885 0.434572  ],13.583519829041881,"{'fitness 25': 13.821801798101161, 'fitness 53': 13.698904989057336, 'fitness 74': 13.613870821237903, 'fitness 102': 13.314886867786573}",False
10,"[[0], [1], [3, 0], [1, 1], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",13.903097013300046,"[1, 1, 2, 2, 4, 5, 3]",6,(Constant+(Constant+x[0])*(x[0]-x[0])) * (x[1]**Constant) * (x[2]),(0.9697887445708674+(0.2684700142955715+x[0])*(x[0]-x[0])) * (x[1]**0.527110927949811) * (x[2]),[0.96978874 0.26847001 0.52711093],13.51564252885509,"{'fitness 25': 14.328992667524602, 'fitness 53': 13.903097013300046, 'fitness 74': 12.759234910438883, 'fitness 102': 13.45870000860178}",False
11,"[[0], [3], [0, 3], [0, 2], [], [1, 0, 0, 0], [0, 0, 0]]",14.285028255020332,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.043422400953881835 * (x[1]**0.9017248724930861) * (x[2]),[0.0434224  0.90172487],14.07226248500488,"{'fitness 25': 13.557758899337543, 'fitness 53': 14.285028255020332, 'fitness 74': 13.849862768767485, 'fitness 102': 14.809165786909613}",False
12,"[[0], [2], [0, 3], [1, 0], [3, 0, 0, 0, 3, 3], [1, 0, 0, 0], [0, 0, 0, 0]]",15.000793272524579,"[1, 1, 1, 2, 3, 4, 3]",6,((Constant/x[0])+x[0]+x[0]**Constant) * (x[1]**Constant) * (x[2]),((0.41204335963792005/x[0])+x[0]+x[0]**0.07734385375328012) * (x[1]**0.4173555988480525) * (x[2]),[0.41204336 0.07734385 0.4173556 ],14.444621640883893,"{'fitness 25': 15.928368891522513, 'fitness 53': 15.000793272524579, 'fitness 74': 13.405946474677195, 'fitness 102': 13.999549556451965}",False
13,"[[0], [2], [3], [], [1], [1], []]",15.507744083022528,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.8861914560153727**0.6842949446521814) * (x[1]**0.5853321758608548) * (x[2]),[0.88619146 0.68429494 0.58533218],15.453964412763694,"{'fitness 25': 16.45065605551302, 'fitness 53': 15.507744083022528, 'fitness 74': 15.471493681678341, 'fitness 102': 14.439743501099722}",False
14,"[[0], [3], [], [], [], [1], []]",16.123850514079795,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.024320531271521006 * (x[1]**0.9672432022025393) * (x[2]),[0.02432053 0.9672432 ],15.923407269824262,"{'fitness 25': 15.421043404225601, 'fitness 53': 16.123850514079795, 'fitness 74': 15.705122976191188, 'fitness 102': 16.644055429056}",False
15,"[[0], [3], [], [0, 0, 2, 1], [], [1], [0]]",16.42031875617282,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5873826959543337 * (x[1]**0.5800129366015281) * (x[2]),[0.5873827  0.58001294],16.05102004972514,"{'fitness 25': 16.776831983774873, 'fitness 53': 16.42031875617282, 'fitness 74': 15.335100841608428, 'fitness 102': 16.041127323792118}",False
