,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [], [], [], [1], []]",7.278118829960528,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
1,"[[0], [3], [], [], [], [1], []]",9.947581112307997,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.15357796331562568 * (x[1]**0.7840693902702551) * (x[2]),[0.15357796 0.78406939],9.776680054427707,"{'fitness 25': 10.57238310437892, 'fitness 53': 9.947581112307997, 'fitness 74': 9.762388928829125, 'fitness 102': 8.995268130075075}",False
2,"[[0], [1], [3, 0], [1, 1], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",13.903097013300046,6,(Constant+(Constant+x[0])*(x[0]-x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 3]",(0.9697887445708674+(0.2684700142955715+x[0])*(x[0]-x[0])) * (x[1]**0.527110927949811) * (x[2]),[0.96978874 0.26847001 0.52711093],13.51564252885509,"{'fitness 25': 14.328992667524602, 'fitness 53': 13.903097013300046, 'fitness 74': 12.759234910438883, 'fitness 102': 13.45870000860178}",False
3,"[[0], [0], [3, 3], [], [0], [1, 1], []]",15.401211216301597,4,Constant+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 0, 1, 2, 0]",0.5388024601228922+0.12917624712369802 * (x[1]**0.7631355404742254) * (x[2]),[0.53880246 0.12917625 0.76313554],15.11957079797993,"{'fitness 25': 15.081568919765937, 'fitness 53': 15.401211216301597, 'fitness 74': 14.659044216548336, 'fitness 102': 15.618099257625518}",False
4,"[[0], [3], [], [], [], [1], []]",16.801366846974815,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.38913040076820304 * (x[1]**0.6897836822732941) * (x[2]),[0.3891304  0.68978368],16.661634081007097,"{'fitness 25': 18.143080606641192, 'fitness 53': 16.801366846974815, 'fitness 74': 16.623395253847796, 'fitness 102': 15.2184263825323}",False
5,"[[0], [3], [], [], [], [1], []]",17.92324954497822,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.2832776217915608 * (x[1]**0.7287322883170808) * (x[2]),[0.28327762 0.72873229],17.746947185533458,"{'fitness 25': 19.44346780771864, 'fitness 53': 17.92324954497822, 'fitness 74': 17.67376190211022, 'fitness 102': 16.123611846771507}",False
6,"[[0], [2], [3], [], [], [0], [0]]",23.691203574356997,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 1]",(x[0]**0.04653640987101881) * (x[1]**0.5877691757940097) * (x[2]),[0.04653641 0.58776918],23.598369938857733,"{'fitness 25': 24.92467098567196, 'fitness 53': 23.691203574356997, 'fitness 74': 23.61338727283816, 'fitness 102': 22.257051558063083}",False
7,"[[0], [3], [], [], [], [1], []]",24.062085498749077,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.981710421415261 * (x[1]**0.4968664507295162) * (x[2]),[0.98171042 0.49686645],23.61836818326795,"{'fitness 25': 25.024838215650156, 'fitness 53': 24.062085498749077, 'fitness 74': 22.739159168239542, 'fitness 102': 23.091107165914156}",False
8,"[[0], [1], [0, 3], [1, 2], [1, 2, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",26.63840886851317,6,((x[0]-x[0])*x[0]+x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 4]",((x[0]-x[0])*x[0]+x[0]) * (x[1]**0.5019706921927262) * (x[2]),[0.50197069],25.805537058598464,"{'fitness 25': 28.73146093645243, 'fitness 53': 26.63840886851317, 'fitness 74': 23.835434101330716, 'fitness 102': 24.849716138012262}",False
9,"[[0], [1], [2, 2], [2, 0], [0, 3], [0, 1, 0], [0, 0]]",27.801931669328507,6,((x[0]**Constant)+(Constant/x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 2, 3, 2]",((x[0]**0.9945142586630666)+(0.3135899971157361/x[0]**0.3630445999486319)) * (x[1]**0.5492222311803281) * (x[2]),[0.99451426 0.31359    0.3630446  0.54922223],27.59678127853753,"{'fitness 25': 28.372830873399668, 'fitness 53': 27.801931669328507, 'fitness 74': 27.70865600072517, 'fitness 102': 26.708856961487754}",False
