,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
37,"[[0], [3], [], [2, 1, 0, 0], [2, 2], [1, 0, 0], [0, 0]]",50.174460633296746,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.28058974676337034 * (x[1]**0.5126981701215336) * (x[2]),[0.28058975 0.51269817],49.57685916264731,"{'fitness 25': 52.20669904664772, 'fitness 53': 50.174460633296746, 'fitness 74': 48.39437941275737, 'fitness 102': 48.12949902853684}",False
38,"[[0], [3], [2, 1], [], [2, 2], [1, 0, 0], [0, 0, 0]]",50.88816246302348,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.05669295253911577 * (x[1]**0.6969195585026832) * (x[2]),[0.05669295 0.69691956],50.31079312038764,"{'fitness 25': 52.80163005362232, 'fitness 53': 50.88816246302348, 'fitness 74': 49.16396668990081, 'fitness 102': 48.966782617639815}",False
39,"[[0], [1], [0, 3], [1, 2], [3, 2, 3], [1, 1, 0, 0], [0, 0]]",51.143125319417855,"[1, 1, 2, 2, 3, 4, 2]",6,((Constant/Constant)*x[0]/x[0]) * (x[1]**Constant) * (x[2]),((0.8035774539568172/0.3999327408370268)*x[0]/x[0]) * (x[1]**0.2664703613341367) * (x[2]),[0.80357745 0.39993274 0.26647036],50.50354272951264,"{'fitness 25': 53.41695323869668, 'fitness 53': 51.143125319417855, 'fitness 74': 49.24757944524997, 'fitness 102': 48.84609550459127}",False
40,"[[0], [3], [3, 3], [], [0, 0, 2, 0, 1], [0, 1, 1, 1, 1], [0, 0, 0]]",52.28475196367044,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.34263287498610173) * (x[2]),[0.34263287],51.568926914755366,"{'fitness 25': 54.77171524223184, 'fitness 53': 52.28475196367044, 'fitness 74': 50.071452005621694, 'fitness 102': 49.86361349641258}",False
41,"[[0], [3], [3, 0], [1, 0], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",52.61163983228294,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9865558168115424 * (x[1]**0.3361744180060726) * (x[2]),[0.98655582 0.33617442],51.97571075746621,"{'fitness 25': 54.87264443634142, 'fitness 53': 52.61163983228294, 'fitness 74': 50.72357900654308, 'fitness 102': 50.33090882951412}",False
42,"[[0], [3], [3, 3], [2, 1, 0, 0], [], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0]]",52.83030304549432,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8389757350341412 * (x[1]**0.35311404234845956) * (x[2]),[0.83897574 0.35311404],52.19551064109695,"{'fitness 25': 55.08599384669277, 'fitness 53': 52.83030304549432, 'fitness 74': 50.94498143616378, 'fitness 102': 50.555556640434304}",False
43,"[[0], [0], [0, 3], [2, 1], [2, 2, 0], [1, 1, 0, 0], [0, 0, 0, 0]]",53.738899235666025,"[1, 1, 2, 2, 3, 4, 2]",6,Constant*(Constant*x[0])+x[0] * (x[1]**Constant) * (x[2]),0.33549615712466585*(0.7740012633278678*x[0])+x[0] * (x[1]**0.32171922854965396) * (x[2]),[0.33549616 0.77400126 0.32171923],53.02515768160536,"{'fitness 25': 56.24860942498492, 'fitness 53': 53.738899235666025, 'fitness 74': 51.547083268830576, 'fitness 102': 51.279780351000575}",False
44,"[[0], [3], [], [2, 1, 0, 0], [0, 0, 3, 3, 0, 2], [0], [0]]",54.73896351512929,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.31076246381481076) * (x[2]),[0.31076246],54.02891658355688,"{'fitness 25': 57.2555374655559, 'fitness 53': 54.73896351512929, 'fitness 74': 52.565937822632534, 'fitness 102': 52.26527446248219}",False
45,"[[0], [3], [0, 1], [2, 1, 0, 0], [0, 0, 2, 0, 1, 1], [0, 1, 1, 1, 0, 1, 1], [0]]",55.639924035414936,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.29663533734678904) * (x[2]),[0.29663534],54.932001153238325,"{'fitness 25': 58.16674989599039, 'fitness 53': 55.639924035414936, 'fitness 74': 53.4813787759445, 'fitness 102': 53.14787478778007}",False
46,"[[0], [3], [2, 2], [], [2, 3], [1], []]",56.41832809555857,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8763387731460333 * (x[1]**0.29498721264213) * (x[2]),[0.87633877 0.29498721],55.761505018499484,"{'fitness 25': 58.81346939754601, 'fitness 53': 56.41832809555857, 'fitness 74': 54.46788211433552, 'fitness 102': 54.00316354361692}",False
47,"[[0], [3], [3, 0], [2, 1, 0, 0], [0, 0, 2, 0, 1], [1, 0, 0], [0]]",56.47492609885622,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6037765049690756 * (x[1]**0.3389017739400463) * (x[2]),[0.6037765  0.33890177],55.8214768932501,"{'fitness 25': 58.85154001225121, 'fitness 53': 56.47492609885622, 'fitness 74': 54.53353609197883, 'fitness 102': 54.07935457552024}",False
