,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
76,"[[0], [3], [], [], [], [0], [0]]",138.30845351556815,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.680310729338513) * (x[2]),[0.68031073],137.77731329078276,"{'fitness 25': 141.5053701397366, 'fitness 53': 138.30845351556815, 'fitness 74': 138.88352618892688, 'fitness 102': 132.94304354368484}",False
77,"[[0], [1], [2, 2], [2, 0], [0, 3], [0, 1, 0], [0, 0]]",180.80529238389227,6,((x[0]**Constant)+(Constant/x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 2, 3, 2]",((x[0]**0.10895833747057704)+(0.03285722671075697/x[0]**0.6335274741442499)) * (x[1]**0.7083126277984887) * (x[2]),[0.10895834 0.03285723 0.63352747 0.70831263],179.2817850020747,"{'fitness 25': 190.5292523731354, 'fitness 53': 180.80529238389227, 'fitness 74': 177.0495366954943, 'fitness 102': 170.26656593759444}",False
78,"[[0], [1], [3, 1], [2, 0], [3, 1, 0], [0, 1, 0, 0], [0, 0, 0]]",251.65228955551663,6,(x[0]/(Constant-x[0]+x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 3]",(x[0]/(0.40169865209308797-x[0]+x[0])) * (x[1]**0.6267500979480891) * (x[2]),[0.40169865 0.6267501 ],250.7765694054775,"{'fitness 25': 257.3519800088428, 'fitness 53': 251.65228955551663, 'fitness 74': 252.3062416347938, 'fitness 102': 242.67148657279583}",False
79,"[[0], [3], [], [], [], [0, 1, 0, 0], [0, 0, 0]]",287.6626925666143,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.747499687346573) * (x[2]),[0.74749969],286.27122292612836,"{'fitness 25': 295.39198103799595, 'fitness 53': 287.6626925666143, 'fitness 74': 287.8364555570781, 'fitness 102': 275.5852321833111}",False
80,"[[0], [3], [], [], [], [1], []]",367.1171829991966,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.4735826228577531 * (x[1]**0.867153130944062) * (x[2]),[0.47358262 0.86715313],363.03627946078444,"{'fitness 25': 391.6846475400596, 'fitness 53': 367.1171829991966, 'fitness 74': 356.04257014331154, 'fitness 102': 341.3816206989821}",False
81,"[[0], [2], [3], [], [0], [1], []]",417.7146170185717,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 0]",(0.8275524498314487**0.1896559241600836) * (x[1]**0.7966548614841241) * (x[2]),[0.82755245 0.18965592 0.79665486],413.4324873340268,"{'fitness 25': 443.5639820939188, 'fitness 53': 417.7146170185717, 'fitness 74': 405.9600042605886, 'fitness 102': 390.773475647573}",False
82,"[[0], [1], [0, 3], [1, 2], [2, 1, 0], [0, 1, 0, 1], [0, 0, 0, 0]]",470.56757543944536,6,((x[0]*Constant)-x[0]+Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",((x[0]*0.6733026162271702)-x[0]+0.6422082153325674) * (x[1]**0.9376744658877044) * (x[2]),[0.67330262 0.64220822 0.93767447],462.1463339215773,"{'fitness 25': 530.5084046432554, 'fitness 53': 470.56757543944536, 'fitness 74': 434.73459402458576, 'fitness 102': 421.1960030968907}",False
83,"[[0], [3], [3, 3], [], [1], [1], []]",475.0250319416478,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.39422671044932445 * (x[1]**0.9148744865676124) * (x[2]),[0.39422671 0.91487449],469.48989336925797,"{'fitness 25': 507.9162779785667, 'fitness 53': 475.0250319416478, 'fitness 74': 460.0015089357618, 'fitness 102': 440.55189319344544}",False
84,"[[0], [3], [], [], [], [0], [0]]",501.53012089274796,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.8041368551110954) * (x[2]),[0.80413686],498.7111932196535,"{'fitness 25': 516.249451525371, 'fitness 53': 501.53012089274796, 'fitness 74': 500.72015761536466, 'fitness 102': 479.16397051822486}",False
85,"[[0], [1], [0, 3], [1, 2], [0, 0, 0, 0, 3, 3], [1, 1, 0, 1], [0]]",561.115034827932,6,((Constant+Constant)+x[0]+Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 1]",((0.2535767103231913+0.530653300716294)+x[0]+0.2516414208899945) * (x[1]**0.7371493346253325) * (x[2]),[0.25357671 0.5306533  0.25164142 0.73714933],557.1863747699458,"{'fitness 25': 583.5444542782574, 'fitness 53': 561.115034827932, 'fitness 74': 554.5527062863798, 'fitness 102': 533.4619637452}",False
