,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
1,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
2,"[[0], [2], [2], [0, 0, 2, 1], [2, 1], [1, 1, 1, 1, 1], []]",5.778086128860641,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.7329339967309713*0.06849038857161449**0.23063163977852252)**0.14586641045713122) * (x[1]**0.5705300431433462) * (x[2]),[0.732934   0.06849039 0.23063164 0.14586641 0.57053004],5.576240630905027,"{'fitness 25': 5.904740503551909, 'fitness 53': 5.778086128860641, 'fitness 74': 5.323178660981207, 'fitness 102': 5.500802728181966}",False
3,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
4,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",5.9710726296676455,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.07925753791156376**0.8248586703668721)**0.28996357524616245) * (x[1]**0.62853929737569) * (x[2]),[0.07925754 0.82485867 0.28996358 0.6285393 ],5.791853682180398,"{'fitness 25': 6.123781207439987, 'fitness 53': 5.9710726296676455, 'fitness 74': 5.668832768125684, 'fitness 102': 5.58294707097552}",False
5,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",6.537767468596183,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.43317859233605305 * (x[1]**0.6573278876442262) * (x[2]),[0.43317859 0.65732789],6.37421374261906,"{'fitness 25': 6.774890336606139, 'fitness 53': 6.537767468596183, 'fitness 74': 6.312146713393669, 'fitness 102': 6.035604177857372}",False
6,"[[0], [3], [], [], [], [1], []]",7.278118829960528,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
7,"[[0], [3], [3, 3], [], [], [1], []]",7.693586956137968,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.1781776044011405 * (x[1]**0.7490271608202469) * (x[2]),[0.1781776  0.74902716],7.435366758563542,"{'fitness 25': 7.0074209505932314, 'fitness 53': 7.693586956137968, 'fitness 74': 7.228513973481762, 'fitness 102': 8.070165351615634}",False
8,"[[0], [3], [3, 3], [], [], [1], [0, 0, 0]]",8.347606453966279,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.16130721286801497 * (x[1]**0.7738126204647239) * (x[2]),[0.16130721 0.77381262],8.17401033168156,"{'fitness 25': 8.581519575585263, 'fitness 53': 8.347606453966279, 'fitness 74': 8.146437911889052, 'fitness 102': 7.794073507570367}",False
9,"[[0], [1], [3, 3], [1, 0], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",9.816097952217204,"[1, 1, 2, 0, 1, 2, 0]",4,(Constant+Constant) * (x[1]**Constant) * (x[2]),(0.39619087344235604+0.5873077548777481) * (x[1]**0.5670291667677511) * (x[2]),[0.39619087 0.58730775 0.56702917],9.75609519974018,"{'fitness 25': 10.35665922803407, 'fitness 53': 9.816097952217204, 'fitness 74': 9.757813891385073, 'fitness 102': 9.153812479801394}",False
10,"[[0], [3], [], [], [], [1], []]",9.947581112307997,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.15357796331562568 * (x[1]**0.7840693902702551) * (x[2]),[0.15357796 0.78406939],9.776680054427707,"{'fitness 25': 10.57238310437892, 'fitness 53': 9.947581112307997, 'fitness 74': 9.762388928829125, 'fitness 102': 8.995268130075075}",False
11,"[[0], [2], [3], [], [], [1], [0]]",10.062989314465716,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.7722191433395816**0.8239275501718434) * (x[1]**0.591295655168001) * (x[2]),[0.77221914 0.82392755 0.59129566],9.993542936103417,"{'fitness 25': 10.679219891126808, 'fitness 53': 10.062989314465716, 'fitness 74': 10.005805859575997, 'fitness 102': 9.295603057607446}",False
12,"[[0], [3], [0], [2, 1, 0, 0], [0, 0, 3, 3, 0, 2], [1, 0, 0, 0, 0, 0, 1], [0]]",12.012360160268758,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.04248178674609182 * (x[1]**0.9151290158547041) * (x[2]),[0.04248179 0.91512902],11.82312231279297,"{'fitness 25': 11.415865087302738, 'fitness 53': 12.012360160268758, 'fitness 74': 11.696913963558728, 'fitness 102': 12.356587887517444}",False
13,"[[0], [3], [0, 1], [1, 0], [2, 0, 1], [1, 0, 1, 0], [0, 0]]",12.62934179248443,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.895845086894956 * (x[1]**0.5836837049236117) * (x[2]),[0.89584509 0.5836837 ],12.576771963576178,"{'fitness 25': 13.39841900222062, 'fitness 53': 12.62934179248443, 'fitness 74': 12.602583608867429, 'fitness 102': 11.729313279640484}",False
14,"[[0], [1], [0, 1], [0, 1, 1, 2], [0, 2, 0, 0, 2, 2], [1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",31.593934948029112,"[1, 1, 2, 4, 6, 7, 5]",6,(Constant+x[0]*(x[0]+Constant)+((x[0]*x[0])*x[0])) * (x[1]**Constant) * (x[2]),(0.7061571073949694+x[0]*(x[0]+0.7708200916990812)+((x[0]*x[0])*x[0])) * (x[1]**0.3315158241165459) * (x[2]),[0.70615711 0.77082009 0.33151582],30.599867080777006,"{'fitness 25': 34.15726621535556, 'fitness 53': 31.593934948029112, 'fitness 74': 28.414608379442996, 'fitness 102': 29.227726647532457}",False
15,"[[0], [1], [3, 3], [], [0, 1, 2, 1, 1, 2], [0, 0, 1, 0, 1, 1, 1], [0, 0]]",31.996551898578787,"[1, 1, 2, 0, 1, 2, 2]",5,(x[0]+x[0]) * (x[1]**Constant) * (x[2]),(x[0]+x[0]) * (x[1]**0.3952508950594745) * (x[2]),[0.3952509],31.162723047848157,"{'fitness 25': 34.311657173021516, 'fitness 53': 31.996551898578787, 'fitness 74': 29.265571716407425, 'fitness 102': 29.910940254115538}",False
