,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
1,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
2,"[[0], [2], [2], [0, 0, 2, 1], [2, 1], [1, 1, 1, 1, 1], []]",5.778086128860641,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.7329339967309713*0.06849038857161449**0.23063163977852252)**0.14586641045713122) * (x[1]**0.5705300431433462) * (x[2]),[0.732934   0.06849039 0.23063164 0.14586641 0.57053004],5.576240630905027,"{'fitness 25': 5.904740503551909, 'fitness 53': 5.778086128860641, 'fitness 74': 5.323178660981207, 'fitness 102': 5.500802728181966}",False
3,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
4,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",6.537767468596183,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.43317859233605305 * (x[1]**0.6573278876442262) * (x[2]),[0.43317859 0.65732789],6.37421374261906,"{'fitness 25': 6.774890336606139, 'fitness 53': 6.537767468596183, 'fitness 74': 6.312146713393669, 'fitness 102': 6.035604177857372}",False
5,"[[0], [3], [], [], [], [1], []]",7.278118829960528,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
6,"[[0], [3], [3, 3], [], [], [1], []]",7.693586956137968,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.1781776044011405 * (x[1]**0.7490271608202469) * (x[2]),[0.1781776  0.74902716],7.435366758563542,"{'fitness 25': 7.0074209505932314, 'fitness 53': 7.693586956137968, 'fitness 74': 7.228513973481762, 'fitness 102': 8.070165351615634}",False
7,"[[0], [1], [3, 3], [1, 0], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",9.816097952217204,"[1, 1, 2, 0, 1, 2, 0]",4,(Constant+Constant) * (x[1]**Constant) * (x[2]),(0.39619087344235604+0.5873077548777481) * (x[1]**0.5670291667677511) * (x[2]),[0.39619087 0.58730775 0.56702917],9.75609519974018,"{'fitness 25': 10.35665922803407, 'fitness 53': 9.816097952217204, 'fitness 74': 9.757813891385073, 'fitness 102': 9.153812479801394}",False
8,"[[0], [3], [], [], [], [1], []]",9.947581112307997,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.15357796331562568 * (x[1]**0.7840693902702551) * (x[2]),[0.15357796 0.78406939],9.776680054427707,"{'fitness 25': 10.57238310437892, 'fitness 53': 9.947581112307997, 'fitness 74': 9.762388928829125, 'fitness 102': 8.995268130075075}",False
9,"[[0], [2], [3], [], [], [1], [0]]",10.062989314465716,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.7722191433395816**0.8239275501718434) * (x[1]**0.591295655168001) * (x[2]),[0.77221914 0.82392755 0.59129566],9.993542936103417,"{'fitness 25': 10.679219891126808, 'fitness 53': 10.062989314465716, 'fitness 74': 10.005805859575997, 'fitness 102': 9.295603057607446}",False
10,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",10.78618064808837,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.15225325829536152**0.733770861028748)**0.6851647384223502) * (x[1]**0.6797062053798113) * (x[2]),[0.15225326 0.73377086 0.68516474 0.67970621],10.666011099508133,"{'fitness 25': 11.616462930549263, 'fitness 53': 10.78618064808837, 'fitness 74': 10.682511310158432, 'fitness 102': 9.699059057816706}",False
11,"[[0], [3], [], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",11.26511929549609,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8660026206272994 * (x[1]**0.5473209800030002) * (x[2]),[0.86600262 0.54732098],10.891844781844071,"{'fitness 25': 11.491383434238326, 'fitness 53': 11.26511929549609, 'fitness 74': 10.179264324078979, 'fitness 102': 11.004886587214912}",False
12,"[[0], [2], [3], [], [0], [1], []]",11.98304699475934,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5959993675531109**0.7926372563410709) * (x[1]**0.5770245894582724) * (x[2]),[0.59599937 0.79263726 0.57702459],11.623469618813763,"{'fitness 25': 12.12478355402343, 'fitness 53': 11.98304699475934, 'fitness 74': 10.946438485979069, 'fitness 102': 11.799186816438786}",False
13,"[[0], [2], [3], [], [0], [1], []]",12.521431056756521,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.8627655386453202**0.23370661495345812) * (x[1]**0.5743761173749851) * (x[2]),[0.86276554 0.23370661 0.57437612],12.47450863602086,"{'fitness 25': 13.255933431116832, 'fitness 53': 12.521431056756521, 'fitness 74': 12.5010763450233, 'fitness 102': 11.666516131922451}",False
14,"[[0], [3], [], [], [], [1, 0, 0, 0], []]",12.770442131575262,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9024114899588414 * (x[1]**0.5830548187140107) * (x[2]),[0.90241149 0.58305482],12.718550312301668,"{'fitness 25': 13.546295903075213, 'fitness 53': 12.770442131575262, 'fitness 74': 12.744516952480407, 'fitness 102': 11.86483808134938}",False
15,"[[0], [2], [0, 1], [1, 0], [3, 0, 0, 0, 3, 3], [1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0]]",13.698904989057336,"[1, 1, 1, 2, 3, 4, 3]",6,((Constant/x[0])+x[0]+x[0]**Constant) * (x[1]**Constant) * (x[2]),((0.9379729371813721/x[0])+x[0]+x[0]**0.32825884710089415) * (x[1]**0.43457199757420095) * (x[2]),[0.93797294 0.32825885 0.434572  ],13.583519829041881,"{'fitness 25': 13.821801798101161, 'fitness 53': 13.698904989057336, 'fitness 74': 13.613870821237903, 'fitness 102': 13.314886867786573}",False
