,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
1,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
2,"[[0], [2], [2], [0, 0, 2, 1], [2, 1], [1, 1, 1, 1, 1], []]",5.778086128860641,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant*Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.7329339967309713*0.06849038857161449**0.23063163977852252)**0.14586641045713122) * (x[1]**0.5705300431433462) * (x[2]),[0.732934   0.06849039 0.23063164 0.14586641 0.57053004],5.576240630905027,"{'fitness 25': 5.904740503551909, 'fitness 53': 5.778086128860641, 'fitness 74': 5.323178660981207, 'fitness 102': 5.500802728181966}",False
3,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
4,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",5.9710726296676455,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.07925753791156376**0.8248586703668721)**0.28996357524616245) * (x[1]**0.62853929737569) * (x[2]),[0.07925754 0.82485867 0.28996358 0.6285393 ],5.791853682180398,"{'fitness 25': 6.123781207439987, 'fitness 53': 5.9710726296676455, 'fitness 74': 5.668832768125684, 'fitness 102': 5.58294707097552}",False
5,"[[0], [3], [], [2, 1], [0], [1], [0, 0]]",6.51657745211774,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9561308568636335 * (x[1]**0.5622614391317202) * (x[2]),[0.95613086 0.56226144],6.3684172524844564,"{'fitness 25': 6.755405582474616, 'fitness 53': 6.51657745211774, 'fitness 74': 6.206009943343763, 'fitness 102': 6.143836231634992}",False
6,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",6.537767468596183,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.43317859233605305 * (x[1]**0.6573278876442262) * (x[2]),[0.43317859 0.65732789],6.37421374261906,"{'fitness 25': 6.774890336606139, 'fitness 53': 6.537767468596183, 'fitness 74': 6.312146713393669, 'fitness 102': 6.035604177857372}",False
7,"[[0], [3], [], [], [], [1], []]",7.278118829960528,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
8,"[[0], [3], [3, 3], [], [], [1], []]",7.693586956137968,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.1781776044011405 * (x[1]**0.7490271608202469) * (x[2]),[0.1781776  0.74902716],7.435366758563542,"{'fitness 25': 7.0074209505932314, 'fitness 53': 7.693586956137968, 'fitness 74': 7.228513973481762, 'fitness 102': 8.070165351615634}",False
9,"[[0], [3], [3, 3], [], [], [1], [0, 0, 0]]",8.347606453966279,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.16130721286801497 * (x[1]**0.7738126204647239) * (x[2]),[0.16130721 0.77381262],8.17401033168156,"{'fitness 25': 8.581519575585263, 'fitness 53': 8.347606453966279, 'fitness 74': 8.146437911889052, 'fitness 102': 7.794073507570367}",False
10,"[[0], [1], [3, 3], [1, 0], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",9.816097952217204,"[1, 1, 2, 0, 1, 2, 0]",4,(Constant+Constant) * (x[1]**Constant) * (x[2]),(0.39619087344235604+0.5873077548777481) * (x[1]**0.5670291667677511) * (x[2]),[0.39619087 0.58730775 0.56702917],9.75609519974018,"{'fitness 25': 10.35665922803407, 'fitness 53': 9.816097952217204, 'fitness 74': 9.757813891385073, 'fitness 102': 9.153812479801394}",False
11,"[[0], [3], [], [], [], [1], []]",14.257073946167496,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.13470450356769037 * (x[1]**0.7626869354835225) * (x[2]),[0.1347045  0.76268694],13.985642515034,"{'fitness 25': 13.827203369176864, 'fitness 53': 14.257073946167496, 'fitness 74': 13.568170567884714, 'fitness 102': 14.56155360804042}",False
12,"[[0], [3], [0], [2, 1, 0, 0], [0, 0, 2, 0, 1], [1, 0, 0, 0, 0, 0, 1], [0]]",14.644249427192017,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.3801951020431955 * (x[1]**0.6889897550350109) * (x[2]),[0.3801951  0.68898976],14.513880063131767,"{'fitness 25': 15.824594656874183, 'fitness 53': 14.644249427192017, 'fitness 74': 14.50110982659691, 'fitness 102': 13.215935705924212}",False
13,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",15.26991391459387,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9282707676618895 * (x[1]**0.5286925651599249) * (x[2]),[0.92827077 0.52869257],14.879215724038595,"{'fitness 25': 15.75237936099797, 'fitness 53': 15.26991391459387, 'fitness 74': 14.113696603544874, 'fitness 102': 14.771571207572942}",False
14,"[[0], [3], [0], [2, 1, 0, 0], [0, 0, 3, 3, 0, 2], [1, 0, 0], [0]]",15.799071378344998,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.24026376454566878 * (x[1]**0.6886154773680214) * (x[2]),[0.24026376 0.68861548],15.486360052763464,"{'fitness 25': 15.728535492494322, 'fitness 53': 15.799071378344998, 'fitness 74': 14.924637743611155, 'fitness 102': 15.805906922184915}",False
15,"[[0], [3], [], [0, 1, 2, 1], [], [1, 1, 1, 1, 1], []]",21.797684410042944,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2972550611445224 * (x[1]**0.6462722409828255) * (x[2]),[0.29725506 0.64627224],21.432969543668886,"{'fitness 25': 22.220145477853215, 'fitness 53': 21.797684410042944, 'fitness 74': 20.723270691099625, 'fitness 102': 21.35549246205382}",False
16,"[[0], [3], [], [1, 2], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",27.862452740277718,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7991118237173476 * (x[1]**0.5089002436864428) * (x[2]),[0.79911182 0.50890024],27.403377440325574,"{'fitness 25': 28.95480622385847, 'fitness 53': 27.862452740277718, 'fitness 74': 26.49283875381606, 'fitness 102': 26.76248734330219}",False
