,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
46,"[[0], [1], [1, 3], [0, 2], [0, 0, 1], [3, 3, 1, 3, 0, 3], [1, 0, 0, 1, 0, 0, 0], [1, 1, 1, 1, 0]]",1.9454297375964726,7,((Constant/x[1]/x[1]-Constant/((x[1]+x[1])**Constant))/x[0]),"[1, 1, 2, 2, 3, 6, 7, 5]",((0.7789542075388447/x[1]/x[1]-0.17644718975124118/((x[1]+x[1])**0.7875965545452474))/x[0]),[0.77895421 0.17644719 0.78759655],1.9117275225766865,"{'fitness 25': 1.8518858924922148, 'fitness 53': 1.9349022785901522, 'fitness 74': 1.9483943966476922, 'fitness 102': 1.9454297375964726}",False
47,"[[0], [1], [1, 1], [2, 3, 1, 3], [1, 1, 0], [3, 0, 3, 1, 0, 1, 3], [1, 0, 1, 0, 1, 0, 1, 1], [0, 0, 0]]",1.9604232794979937,7,((((Constant/x[0])**Constant)+Constant)/(((x[0]-Constant)+x[0]-Constant)/Constant)),"[1, 1, 2, 4, 3, 7, 8, 3]",((((0.9626385331381001/x[0])**0.5601693232144107)+0.5321350299742819)/(((x[0]-0.6774647442772787)+x[0]-0.389866329663637)/0.16289608043487058)),[0.96263853 0.56016932 0.53213503 0.67746474 0.38986633 0.16289608],1.7578614550732201,"{'fitness 25': 1.7944647657557256, 'fitness 53': 1.8563103809868662, 'fitness 74': 1.6228092184770688, 'fitness 102': 1.9604232794979937}",False
48,"[[0], [1], [3, 1], [0, 3], [1, 0], [3, 1, 3, 3, 1], [1, 1, 1, 1, 0, 1], [0]]",2.0877978145095946,7,(Constant/((Constant-Constant)/Constant/x[0]-Constant)),"[1, 1, 2, 2, 2, 5, 6, 1]",(0.7136679261055768/((0.06396878789931926-0.5676832911474514)/0.11895930744647165/x[0]-0.32363309409276886)),[0.71366793 0.06396879 0.56768329 0.11895931 0.32363309],2.0555377329045674,"{'fitness 25': 1.996364485053202, 'fitness 53': 2.077286831407775, 'fitness 74': 2.092961882252725, 'fitness 102': 2.0877978145095946}",False
49,"[[0], [1], [1, 0], [3, 2, 3, 3], [1], [3, 0, 1, 0], [1, 1, 1, 0, 1], [0]]",2.305068481959115,6,((Constant/((Constant+Constant)**Constant))-x[0]+Constant),"[1, 1, 2, 4, 1, 4, 5, 1]",((0.3359283211737063/((0.3093503715194066+0.5894969446117124)**0.917358019140922))-x[0]+0.21089611056587554),[0.33592832 0.30935037 0.58949694 0.91735802 0.21089611],2.2801872880000684,"{'fitness 25': 2.2230196376576306, 'fitness 53': 2.2956192475976755, 'fitness 74': 2.3219229787448996, 'fitness 102': 2.305068481959115}",False
50,"[[0], [1], [2, 0], [0, 2, 1], [2, 2, 1, 2, 0], [1, 1, 0, 1, 2, 1], [1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0]]",2.7449347420831938,7,((Constant-x[0]**Constant)-((Constant+x[0])**Constant)-(x[0]*Constant-x[0])),"[1, 1, 2, 3, 5, 6, 7, 4]",((0.5685469443609265-x[0]**0.12085021608826663)-((0.39589710293773295+x[0])**0.2822274829552541)-(x[0]*0.2613809513324201-x[0])),[0.56854694 0.12085022 0.3958971  0.28222748 0.26138095],2.7087761250353783,"{'fitness 25': 2.6505105988214788, 'fitness 53': 2.7329026869599873, 'fitness 74': 2.7429150893246703, 'fitness 102': 2.7449347420831938}",False
51,"[[0], [0], [1, 3], [3, 3], [], [3, 1], [0, 1, 0], [0, 0]]",2.879495676842461,6,(x[0]/Constant)-x[0],"[1, 1, 2, 2, 0, 2, 3, 2]",(x[0]/0.18341519277841423)-x[0],[0.18341519],2.920202125022758,"{'fitness 25': 2.9316028546087574, 'fitness 53': 2.9139103206851678, 'fitness 74': 2.915093199774349, 'fitness 102': 2.879495676842461}",False
52,"[[0], [0], [2, 3], [0], [0, 1], [3, 1, 0, 3], [1, 0, 1, 1, 1], [1]]",4.356602721370233,7,(Constant/x[1]-(Constant+Constant)**Constant)/Constant,"[1, 1, 2, 1, 2, 4, 5, 1]",(0.03388995079006485/x[1]-(0.6552928353100048+0.26578117734441087)**0.5040711060511869)/0.39554161344429906,[0.03388995 0.65529284 0.26578118 0.50407111 0.39554161],4.323758923918564,"{'fitness 25': 4.2671902380086895, 'fitness 53': 4.3446168722696665, 'fitness 74': 4.359469661477336, 'fitness 102': 4.356602721370233}",False
53,"[[0], [0], [1, 1], [2, 2, 3, 3], [0, 2], [2, 1, 3, 3], [1, 1, 1, 1, 0], [0]]",4.37191392080785,6,((Constant*Constant**Constant)-(Constant**Constant))/(Constant/x[0]),"[1, 1, 2, 4, 2, 4, 5, 1]",((0.35485525747669777*0.5716153678703125**0.846268561180408)-(0.7417235637857257**0.5754036681172552))/(0.2466348831364008/x[0]),[0.35485526 0.57161537 0.84626856 0.74172356 0.57540367 0.24663488],4.35895468625579,"{'fitness 25': 4.301655013609562, 'fitness 53': 4.366749165044597, 'fitness 74': 4.408459880113211, 'fitness 102': 4.37191392080785}",False
54,"[[0], [0], [0, 0], [2, 0, 3, 1], [1, 1, 2, 1, 0], [1, 3, 3, 3, 2, 2, 2, 3, 0], [0, 1, 0, 0, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0]]",5.751675865900067,7,((x[1]-Constant)**Constant)/(x[1]/x[1])/Constant*Constant*((x[0]*Constant)/x[0]+Constant),"[1, 1, 2, 4, 5, 9, 10, 5]",((x[1]-0.6150629668432338)**0.302758689958454)/(x[1]/x[1])/0.47779076685807476*0.42172235699369787*((x[0]*0.2832821365943746)/x[0]+0.4841957790242081),[0.61506297 0.30275869 0.47779077 0.42172236 0.28328214 0.48419578],6.008603025286681,"{'fitness 25': 6.21681550869607, 'fitness 53': 5.960971399153809, 'fitness 74': 5.848022168010165, 'fitness 102': 5.751675865900067}",False
55,"[[0], [1], [0, 0], [3, 3, 2, 1], [1, 1, 0], [3, 1, 2, 3, 3, 0, 0], [0, 1, 1, 0, 1, 1, 0, 1], [0, 0, 1]]",12.283869486994622,7,(x[0]/Constant-((Constant*x[0])**Constant)/((Constant/Constant)+x[1]+Constant)),"[1, 1, 2, 4, 3, 7, 8, 3]",(x[0]/0.07209991596800913-((0.7178855116179805*x[0])**0.32108564674272133)/((0.876892067508234/0.8477299199270938)+x[1]+0.9741031450704574)),[0.07209992 0.71788551 0.32108565 0.87689207 0.84772992 0.97410315],12.3918102772692,"{'fitness 25': 12.388002745603904, 'fitness 53': 12.352285262581464, 'fitness 74': 12.435142823622224, 'fitness 102': 12.283869486994622}",False
56,"[[0], [1], [2, 0], [0, 2, 3], [1, 2, 2], [3, 0, 3, 0], [0, 0, 1, 0, 0], [1, 0, 1, 0]]",15.136004895220848,7,(((x[1]/x[0])+Constant**Constant)/(x[1]**Constant)+x[0]),"[1, 1, 2, 3, 3, 4, 5, 4]",(((x[1]/x[0])+0.8286968615355195**0.9633230769129185)/(x[1]**0.6767679605032274)+x[0]),[0.82869686 0.96332308 0.67676796],15.872826202147573,"{'fitness 25': 16.790197058263622, 'fitness 53': 15.87302317594003, 'fitness 74': 14.955258372239069, 'fitness 102': 15.136004895220848}",False
57,"[[0], [1], [0, 1], [1, 0, 3, 0], [0, 1, 0, 2, 0, 0], [0, 1, 2, 3, 2, 3, 3, 1, 2, 0, 1], [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0]]",18.096180193953714,7,((x[0]+x[1]-(x[0]*Constant))/x[0]*x[0]/x[1]/(Constant-x[0]*Constant+Constant-Constant)),"[1, 1, 2, 4, 6, 11, 12, 7]",((x[0]+x[1]-(x[0]*0.8352916019355724))/x[0]*x[0]/x[1]/(0.7287082712249585-x[0]*0.8478113503951485+0.37764173382155175-0.7952358511337448)),[0.8352916  0.72870827 0.84781135 0.37764173 0.79523585],15.797370464379895,"{'fitness 25': 17.006128620291218, 'fitness 53': 12.262728635593414, 'fitness 74': 18.123254137255053, 'fitness 102': 18.096180193953714}",False
58,"[[0], [2], [0], [3, 3], [], [1], [1, 0], [1]]",19.52740382688786,6,(Constant-x[1]**Constant),"[1, 1, 1, 2, 0, 1, 2, 1]",(0.9650510784137097-x[1]**0.365572913923762),[0.96505108 0.36557291],20.206082815057282,"{'fitness 25': 20.669747684530147, 'fitness 53': 20.12289748531395, 'fitness 74': 19.82560327532774, 'fitness 102': 19.52740382688786}",False
59,"[[0], [1], [1, 0], [2, 3, 0, 1], [1, 0, 2, 2, 2], [2, 2, 0, 1, 3, 1, 2], [0, 0, 0, 1, 0, 0, 1, 0], [1, 1, 0, 0, 1, 0]]",22.254205392552596,7,((((x[1]*x[1])**Constant)*x[0])+Constant-x[0]/x[1]-(Constant*x[0])),"[1, 1, 2, 4, 5, 7, 8, 6]",((((x[1]*x[1])**0.19683370398160038)*x[0])+0.2266179035981235-x[0]/x[1]-(0.807753960439157*x[0])),[0.1968337  0.2266179  0.80775396],23.023465284691003,"{'fitness 25': 23.31578351501706, 'fitness 53': 22.87004432010522, 'fitness 74': 22.88456801895074, 'fitness 102': 22.254205392552596}",False
60,"[[0], [2], [2], [1], [0, 1], [2, 0, 2], [1, 0, 1, 0], [1, 0]]",33.34623125328721,7,(((Constant*x[1]+(Constant*x[0]))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 2]",(((0.8997637946514866*x[1]+(0.8552593775151947*x[0]))**0.7005785490262766)**0.6412139620621283),[0.89976379 0.85525938 0.70057855 0.64121396],34.9570069578408,"{'fitness 25': 36.12490499831476, 'fitness 53': 34.71598600246833, 'fitness 74': 34.030129872739316, 'fitness 102': 33.34623125328721}",False
61,"[[0], [2], [0], [2, 0], [0, 1, 0], [3, 2, 1, 3, 1], [1, 0, 0, 1, 1, 0], [1, 0, 1]]",43.459512493344874,7,((Constant/x[1]**Constant)*(x[0]-Constant)/Constant-x[1]**Constant),"[1, 1, 1, 2, 3, 5, 6, 3]",((0.7224280119354162/x[1]**0.7760854112235653)*(x[0]-0.7458630355938771)/0.9369326276791828-x[1]**0.46416752646560766),[0.72242801 0.77608541 0.74586304 0.93693263 0.46416753],45.3914059488878,"{'fitness 25': 46.74225667263193, 'fitness 53': 45.12870016342874, 'fitness 74': 44.303261010602725, 'fitness 102': 43.459512493344874}",False
62,"[[0], [0], [1, 3], [2, 3], [1], [2, 1, 1], [1, 0, 0, 1], [1, 0]]",57.2542335445186,7,(((Constant*x[1])**Constant)-x[0])-Constant,"[1, 1, 2, 2, 1, 3, 4, 2]",(((0.0982709139636394*x[1])**0.7073589507526435)-x[0])-0.6584407944292252,[0.09827091 0.70735895 0.65844079],61.3764321893672,"{'fitness 25': 64.24537506799288, 'fitness 53': 60.78124994376133, 'fitness 74': 59.1026715563474, 'fitness 102': 57.2542335445186}",False
63,"[[0], [1], [1, 2], [2, 2, 1], [1, 2, 0, 2], [0, 1, 1, 0, 3], [1, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1]]",67.85182494120637,7,((((Constant+x[1])**Constant)-(x[1]**Constant))-((x[0]+x[1]/x[1])**Constant)),"[1, 1, 2, 3, 4, 5, 6, 5]",((((0.753686211138319+x[1])**0.0826289207494485)-(x[1]**0.5213052570448274))-((x[0]+x[1]/x[1])**0.47625789030523025)),[0.75368621 0.08262892 0.52130526 0.47625789],71.27917393232401,"{'fitness 25': 73.67120488402492, 'fitness 53': 70.80178502140723, 'fitness 74': 69.36453189153993, 'fitness 102': 67.85182494120637}",False
