,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 0], [3, 2, 3], [0, 1], [0, 2, 3, 3], [0, 1, 1, 0, 0], [0, 0, 1]]",0.18727648386744483,"[1, 1, 2, 3, 1, 3, 4, 2]",6,(x[0]**Constant)+(Constant*Constant**Constant)/x[0],(x[0]**0.48521003225544723)+(0.765760963043752*0.6819763095765252**0.0839792047005895)/x[0],[0.48521003 0.76576096 0.68197631 0.0839792 ],0.17750346856778218,"{'fitness 25': 0.13570175220033306, 'fitness 53': 0.2016125542970953, 'fitness 74': 0.19519609920591816, 'fitness 102': 0.18727648386744483}",False
1,"[[0], [1], [0, 3], [3, 0], [1, 2], [0, 3, 0, 0], [1, 1, 0, 1, 1], [0]]",0.19869067162567008,"[1, 1, 2, 2, 2, 4, 5, 1]",7,(Constant+(Constant/x[0])+Constant+Constant),(0.11979641262010798+(0.3623755431950705/x[0])+0.7163495621355274+0.5571516592911812),[0.11979641 0.36237554 0.71634956 0.55715166],0.18100605764972796,"{'fitness 25': 0.12762914451150242, 'fitness 53': 0.20629829065548838, 'fitness 74': 0.20909073778219303, 'fitness 102': 0.19869067162567008}",False
2,"[[0], [2], [1, 0], [3, 1], [0, 1, 1, 0, 1, 0], [0, 1, 3, 1], [1, 1, 0, 1, 0, 0], [0, 0, 0, 0]]",0.25881594348457143,"[1, 1, 1, 2, 2, 4, 5, 2]",7,((Constant+(Constant-x[0]/(Constant-x[0])))**Constant),((0.2222165886001075+(0.8679395550374397-x[0]/(0.2266011984735956-x[0])))**0.6315339289077067),[0.22221659 0.86793956 0.2266012  0.63153393],0.23873787478494665,"{'fitness 25': 0.1785293145630743, 'fitness 53': 0.26814155330230044, 'fitness 74': 0.26954275648946524, 'fitness 102': 0.25881594348457143}",False
3,"[[0], [1], [2, 2], [3, 2], [0], [0, 3, 0], [1, 1, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0]]",0.2630144926025989,"[1, 1, 2, 2, 1, 2, 3, 1]",7,((Constant**Constant)+((Constant/x[0]**Constant)**Constant)),((0.7604103618700565**0.6231130682510552)+((0.9668872022189757/x[0]**0.9793921328126939)**0.1750782645383514)),[0.76041036 0.62311307 0.9668872  0.97939213 0.17507826],0.24695326356662303,"{'fitness 25': 0.1993743195470155, 'fitness 53': 0.2739691125654383, 'fitness 74': 0.26751635858741535, 'fitness 102': 0.2630144926025989}",False
4,"[[0], [1], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0]]",0.28276227376828406,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+((Constant/x[0])**Constant)+Constant),(0.28309533015933264+((0.4027340721513156/x[0])**0.25861725593214113)+0.9663669957712367),[0.28309533 0.40273407 0.25861726 0.966367  ],0.29273060272906,"{'fitness 25': 0.29524109266841686, 'fitness 53': 0.30078890485170734, 'fitness 74': 0.2821618106670559, 'fitness 102': 0.28276227376828406}",False
5,"[[0], [1], [2, 2], [2, 1], [2, 2, 1, 0], [0, 3, 0, 2, 3, 2, 1], [0, 1, 0, 0, 1], [0, 0, 0]]",0.289093005890563,"[1, 1, 2, 2, 3, 3, 4, 3]",7,(((x[0]**Constant)**Constant)+((Constant/(x[0]+x[0]))**Constant)),(((x[0]**0.2732650655989318)**0.002255350957816593)+((0.9515786134373259/(x[0]+x[0]))**0.07974753192766959)),[0.27326507 0.00225535 0.95157861 0.07974753],0.28446797391262063,"{'fitness 25': 0.2574377991347058, 'fitness 53': 0.30502709153348206, 'fitness 74': 0.2909390310696741, 'fitness 102': 0.289093005890563}",False
6,"[[0], [1], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0]]",0.3057774783592771,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+((Constant/x[0])**Constant)+Constant),(0.034977523545952516+((0.886605183646537/x[0])**0.20603129576276014)+0.7029941768489073),[0.03497752 0.88660518 0.2060313  0.70299418],0.27832029414373044,"{'fitness 25': 0.21243446261479645, 'fitness 53': 0.30997695116503476, 'fitness 74': 0.31254946865136013, 'fitness 102': 0.3057774783592771}",False
7,"[[0], [0], [2, 2], [3, 3, 0, 0], [], [0, 3, 0], [1, 1, 0, 0, 1, 0, 0, 1], [0]]",0.31229752837922925,"[1, 1, 2, 2, 0, 1, 2, 0]",5,(Constant**Constant)+(Constant**Constant),(0.8719090530660045**0.6224753147518414)+(0.9797815593002374**0.11680196400197074),[0.87190905 0.62247531 0.97978156 0.11680196],0.30283945318126276,"{'fitness 25': 0.26729789489375455, 'fitness 53': 0.32722076638851455, 'fitness 74': 0.31399969826151924, 'fitness 102': 0.31229752837922925}",False
8,"[[0], [0], [0, 2], [3, 3, 0, 0], [2, 0], [3, 0, 3, 3], [1, 1, 0, 0, 1, 0, 0, 1], [0, 0]]",0.3149080010563694,"[1, 1, 2, 3, 2, 4, 5, 2]",7,Constant/Constant+(x[0]/x[0]/Constant**Constant),0.6611650039327075/0.7051972041514664+(x[0]/x[0]/0.9772725223050385**0.9888732536303662),[0.661165   0.7051972  0.97727252 0.98887325],0.3106261314121185,"{'fitness 25': 0.28418425199972874, 'fitness 53': 0.3314872284942885, 'fitness 74': 0.31620691374233817, 'fitness 102': 0.3149080010563694}",False
9,"[[0], [0], [1, 3], [3, 3], [0, 0, 1, 0], [3, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0]]",0.3166264027995495,"[1, 1, 2, 2, 0, 2, 3, 2]",6,(Constant/x[0])+x[0],(0.7044599820961823/x[0])+x[0],[0.70445998],0.30091405117103903,"{'fitness 25': 0.24627584225585256, 'fitness 53': 0.33048846590443665, 'fitness 74': 0.3259778453528279, 'fitness 102': 0.3166264027995495}",False
10,"[[0], [0], [2, 2], [3, 2], [0, 1, 0], [0, 0, 0, 2, 2], [1, 1, 1], [0, 0, 0, 0]]",0.31733372646309455,"[1, 1, 2, 2, 1, 2, 3, 0]",6,(Constant**Constant)+((Constant+Constant**Constant)**Constant),(0.7138324102427264**0.44852519736563645)+((0.4416541027037679+0.8532780837833106**0.7675305312296269)**0.013253050000001876),[0.71383241 0.4485252  0.4416541  0.85327808 0.76753053 0.01325305],0.3018636396220912,"{'fitness 25': 0.2561755057345323, 'fitness 53': 0.3299543755303595, 'fitness 74': 0.3194610376013817, 'fitness 102': 0.31733372646309455}",False
11,"[[0], [1], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0]]",0.32675463186176734,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+((Constant/x[0])**Constant)+Constant),(0.752807992860457+((0.898657953459444/x[0])**0.042758410733334085)+0.3008614815828602),[0.75280799 0.89865795 0.04275841 0.30086148],0.33265226825294525,"{'fitness 25': 0.325382554119119, 'fitness 53': 0.3454315455354723, 'fitness 74': 0.3271427051042445, 'fitness 102': 0.32675463186176734}",False
12,"[[0], [0], [1, 0], [3, 1, 0, 1], [0, 1, 1, 0, 1, 0], [3, 2, 0, 2, 3, 0, 0, 3, 2, 2, 3, 3], [1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0]]",0.3315871150865783,"[1, 1, 2, 4, 6, 12, 13, 2]",7,(Constant/(Constant*Constant+(Constant*Constant)))/(x[0]+x[0])+Constant/Constant*((Constant*Constant)/Constant/Constant),(0.5189711546879262/(0.3535398071491329*0.7688014084285231+(0.7777100684194245*0.6217560405086542)))/(x[0]+x[0])+0.6304384579593648/0.8257115375649291*((0.42410658349993513*0.20355890208766925)/0.4460869656608789/0.11988849259120005),"[0.51897115 0.35353981 0.76880141 0.77771007 0.62175604 0.63043846
 0.82571154 0.42410658 0.2035589  0.44608697 0.11988849]",0.3035214520613531,"{'fitness 25': 0.235847932884779, 'fitness 53': 0.33004342481768284, 'fitness 74': 0.3446729984815976, 'fitness 102': 0.3315871150865783}",False
13,"[[0], [1], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0]]",0.3635309364814026,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+((Constant/x[0])**Constant)+Constant),(0.06033779743458978+((0.532810268473484/x[0])**0.6017517048161453)+0.7929867368549135),[0.0603378  0.53281027 0.6017517  0.79298674],0.3347024966680885,"{'fitness 25': 0.2678605662957937, 'fitness 53': 0.3597746615687687, 'fitness 74': 0.3764722621397029, 'fitness 102': 0.3635309364814026}",False
14,"[[0], [2], [3], [3, 2], [], [0, 0, 0, 2, 2], [0], [1, 0, 1]]",0.37085808052251873,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant),(x[1]**0.08217127636056676),[0.08217128],0.3538994237853051,"{'fitness 25': 0.3130535958302969, 'fitness 53': 0.3764513996671796, 'fitness 74': 0.3721932758584387, 'fitness 102': 0.37085808052251873}",False
15,"[[0], [0], [2, 2], [2, 3, 0, 0], [0], [0, 0, 0, 2, 2], [0, 1, 0, 1, 0, 1], [0, 0]]",0.492514278805904,"[1, 1, 2, 2, 1, 2, 3, 2]",7,((x[0]+Constant**Constant)**Constant)+(x[0]**Constant),((x[0]+0.8170526208208574**0.5147768444786316)**0.3121908860523783)+(x[0]**0.09963188626450015),[0.81705262 0.51477684 0.31219089 0.09963189],0.5044837594979953,"{'fitness 25': 0.5060387745856678, 'fitness 53': 0.5138068952166575, 'fitness 74': 0.4936056086916606, 'fitness 102': 0.492514278805904}",False
16,"[[0], [1], [2, 2], [3, 2, 0], [2], [0, 3, 0], [0, 1, 1, 1, 1, 0, 0], [0]]",0.5115377139315799,"[1, 1, 2, 2, 1, 1, 2, 1]",6,((x[0]**Constant)+((Constant**Constant)**Constant)),((x[0]**0.38901662942392445)+((0.2653556513460489**0.3674900578040189)**0.7966115243182389)),[0.38901663 0.26535565 0.36749006 0.79661152],0.4815485840714287,"{'fitness 25': 0.41834303198161243, 'fitness 53': 0.5177412493817072, 'fitness 74': 0.5085614708509667, 'fitness 102': 0.5115377139315799}",False
