,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
87,"[[0], [0], [1, 3], [3, 0], [1, 2], [0, 0, 0, 3], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0]]",16.464530648731316,"[1, 1, 2, 2, 2, 4, 5, 2]",7,(Constant+(x[0]+x[0])+Constant)/Constant,(0.852757643381288+(x[0]+x[0])+0.900702016055481)/0.2036660557660298,[0.85275764 0.90070202 0.20366606],16.561636589683086,"{'fitness 25': 16.575874497007305, 'fitness 53': 16.519741504743664, 'fitness 74': 16.589293767298283, 'fitness 102': 16.464530648731316}",False
88,"[[0], [0], [0, 0], [3, 2, 0, 2], [0, 1, 1, 2], [2, 1, 3, 3, 1, 3, 0], [1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1]]",35.14880566505308,"[1, 1, 2, 4, 4, 7, 8, 5]",7,Constant*(x[1]-x[1]**Constant)/(x[0]/Constant)-(x[1]/x[1])+(Constant**Constant),0.48754451152308975*(x[1]-x[1]**0.9052126483639165)/(x[0]/0.03293853311851136)-(x[1]/x[1])+(0.9317447023075672**0.5616474965869426),[0.48754451 0.90521265 0.03293853 0.9317447  0.5616475 ],41.01997174853911,"{'fitness 25': 47.09653469202694, 'fitness 53': 39.90188490924363, 'fitness 74': 36.06149564434676, 'fitness 102': 35.14880566505308}",False
89,"[[0], [1], [0, 3], [3, 1], [1, 2], [0, 1, 2, 1], [1, 0, 1, 1, 1], [1]]",1622.398094457239,"[1, 1, 2, 2, 2, 4, 5, 1]",7,(Constant+((x[1]-Constant)*Constant)-Constant),(0.7400503191632646+((x[1]-0.7674590712714767)*0.4398033420930624)-0.1861426445002976),[0.74005032 0.76745907 0.43980334 0.18614264],1773.6970946137108,"{'fitness 25': 1876.2290166769033, 'fitness 53': 1752.0369391842503, 'fitness 74': 1692.8253279799783, 'fitness 102': 1622.398094457239}",False
90,"[[0], [0], [2, 2], [2, 3, 0, 0], [0], [0, 1, 0, 2, 2], [0, 1, 0, 1, 0, 1], [1, 0]]",2731.181380531216,"[1, 1, 2, 2, 1, 2, 3, 2]",7,((x[1]+Constant**Constant)**Constant)-(x[0]**Constant),((x[1]+0.7194331069011638**0.4100912505290357)**0.9646714677815447)-(x[0]**0.7242536105474696),[0.71943311 0.41009125 0.96467147 0.72425361],2977.5444290014325,"{'fitness 25': 3144.693152995659, 'fitness 53': 2942.3136419195625, 'fitness 74': 2845.626492089076, 'fitness 102': 2731.181380531216}",False
91,"[[0], [0], [0, 3], [1, 3, 0, 0], [1, 1], [0, 3, 0, 1, 0], [0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 1]]",3689.908230176406,"[1, 1, 2, 2, 2, 5, 6, 3]",7,((x[0]+Constant)/(Constant+x[1]))-Constant+x[1],((x[0]+0.5193087774353129)/(0.5533720245790327+x[1]))-0.6514235738504601+x[1],[0.51930878 0.55337202 0.65142357],4033.918208760157,"{'fitness 25': 4267.02948547861, 'fitness 53': 3984.68002333018, 'fitness 74': 3850.0451174716823, 'fitness 102': 3689.908230176406}",False
92,"[[0], [1], [0, 3], [3, 2], [0, 0, 2, 0], [3, 3, 0], [0, 0, 1, 0], [0, 1, 1]]",3690.459205666749,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(x[0]/(x[1]/Constant**Constant)+x[1]),(x[0]/(x[1]/0.7144630066789674**0.17212594809056503)+x[1]),[0.71446301 0.17212595],4034.4741140118294,"{'fitness 25': 4267.590897105105, 'fitness 53': 3985.2350026360436, 'fitness 74': 3850.59644229434, 'fitness 102': 3690.459205666749}",False
93,"[[0], [1], [1, 3], [3, 3], [1, 1, 1, 0], [3, 0], [1, 0, 0, 0, 1, 0, 0, 1], [0, 1]]",3690.5528452841945,"[1, 1, 2, 2, 0, 2, 3, 2]",6,((Constant/x[0])+x[1]),((0.10025994250638182/x[0])+x[1]),[0.10025994],4034.5704161040776,"{'fitness 25': 4267.691664897678, 'fitness 53': 3985.3312621607074, 'fitness 74': 3850.6883212538482, 'fitness 102': 3690.5528452841945}",False
94,"[[0], [0], [2, 0], [3, 2, 0], [1, 1, 0], [3, 0, 0, 2, 3, 0, 0, 3, 2, 2, 3, 3], [1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], [0, 1]]",3691.065589147399,"[1, 1, 2, 3, 3, 6, 7, 2]",7,(Constant**Constant)/((Constant+Constant)**Constant)+(Constant*Constant)/x[0]+x[1],(0.24192217010789796**0.5076812731218214)/((0.6130624825286456+0.23541987589569968)**0.3140591307768483)+(0.770802581517243*0.23992742221846708)/x[0]+x[1],"[0.24192217 0.50768127 0.61306248 0.23541988 0.31405913 0.77080258
 0.23992742]",4035.089254587916,"{'fitness 25': 4268.218583699543, 'fitness 53': 3985.849339713937, 'fitness 74': 3851.1998403502676, 'fitness 102': 3691.065589147399}",False
95,"[[0], [1], [2, 3], [3], [2, 2], [0, 0], [0, 0, 0, 1, 1, 1, 0, 0], [0, 1]]",3691.3036958382972,"[1, 1, 2, 1, 0, 1, 2, 2]",6,((x[0]**Constant)+x[1]),((x[0]**0.6469786995634599)+x[1]),[0.6469787],4035.3182494292573,"{'fitness 25': 4268.428805597748, 'fitness 53': 3986.077387409388, 'fitness 74': 3851.4485552806373, 'fitness 102': 3691.3036958382972}",False
96,"[[0], [0], [2, 2], [0, 3, 0, 0], [2, 2], [0, 0, 0, 2, 2], [0, 1, 1], [1, 0, 1]]",3691.7870113946046,"[1, 1, 2, 2, 2, 2, 3, 1]",7,(x[1]+Constant**Constant)+(Constant**Constant),(x[1]+0.8349240112582906**0.13144584204342025)+(0.324524698536547**0.46433132536205757),[0.83492401 0.13144584 0.3245247  0.46433133],4035.8137689038085,"{'fitness 25': 4268.943800761326, 'fitness 53': 3986.572430586841, 'fitness 74': 3851.925075363259, 'fitness 102': 3691.7870113946046}",False
97,"[[0], [1], [1, 1], [3, 1, 0, 1], [1, 1, 1, 2, 0, 2], [1, 3, 0, 0, 0, 0, 0, 2, 1, 3], [0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0]]",3693.605173098232,"[1, 1, 2, 4, 6, 10, 11, 6]",7,((x[0]-((Constant/Constant)+(Constant+x[0])))+((x[0]+Constant)+x[0]*(Constant-x[1]/x[0]))),((x[0]-((0.9435105464236717/0.4116762188511559)+(0.5377833645451964+x[0])))+((x[0]+0.8520150308055829)+x[0]*(0.8681063204638437-x[1]/x[0]))),[0.94351055 0.41167622 0.53778336 0.85201503 0.86810632],4037.6477476807595,"{'fitness 25': 4270.788428905445, 'fitness 53': 3988.4249211529313, 'fitness 74': 3853.7298929839017, 'fitness 102': 3693.605173098232}",False
98,"[[0], [1], [0, 0], [3, 2, 1, 0], [1, 1, 1, 0, 0], [2, 3, 0, 0, 2, 2, 2, 1, 2, 2], [1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 1, 0]]",3701.0161121707342,"[1, 1, 2, 4, 5, 10, 11, 6]",7,(Constant*((Constant/x[0])**Constant)+((Constant+Constant)*(x[0]*x[0]))*x[1]-Constant*x[1]*x[0]),(0.319806864817725*((0.5793076011761977/x[0])**0.8030040807588666)+((0.6415454642013901+0.6923577026421605)*(x[0]*x[0]))*x[1]-0.6537223741357682*x[1]*x[0]),[0.31980686 0.5793076  0.80300408 0.64154546 0.6923577  0.65372237],3883.417943000377,"{'fitness 25': 3935.9900787942665, 'fitness 53': 3847.8098333354083, 'fitness 74': 3866.453916871456, 'fitness 102': 3701.0161121707342}",False
99,"[[0], [0], [2, 0], [0, 2, 0, 0], [0, 0, 0, 1, 2], [0, 3, 0, 3, 1, 1, 3, 1], [0, 1, 1, 1, 0, 1, 0, 1, 0], [0, 0, 1, 0]]",144700.45434505583,"[1, 1, 2, 3, 5, 8, 9, 4]",7,(x[0]+Constant/Constant+Constant**Constant)/(x[0]-Constant**Constant)-(x[1]/Constant)-x[0],(x[0]+0.8585798846277011/0.8917566505516649+0.40801724208544643**0.4204287690093709)/(x[0]-0.003932500090705338**0.8659937822003445)-(x[1]/0.025514751110752076)-x[0],"[0.85857988 0.89175665 0.40801724 0.42042877 0.0039325  0.86599378
 0.02551475]",158183.48868060324,"{'fitness 25': 167319.61321593518, 'fitness 53': 156253.9703568055, 'fitness 74': 150976.88246906904, 'fitness 102': 144700.45434505583}",False
