,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [1, 3], [3, 3], [0, 0, 1, 0], [3, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0]]",0.3166264027995495,"[1, 1, 2, 2, 0, 2, 3, 2]",6,(Constant/x[0])+x[0],(0.7044599820961823/x[0])+x[0],[0.70445998],0.30091405117103903,"{'fitness 25': 0.24627584225585256, 'fitness 53': 0.33048846590443665, 'fitness 74': 0.3259778453528279, 'fitness 102': 0.3166264027995495}",False
1,"[[0], [0], [1, 0], [3, 1, 0, 1], [0, 1, 1, 0, 1, 0], [3, 2, 0, 2, 3, 0, 0, 3, 2, 2, 3, 3], [1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0]]",0.3315871150865783,"[1, 1, 2, 4, 6, 12, 13, 2]",7,(Constant/(Constant*Constant+(Constant*Constant)))/(x[0]+x[0])+Constant/Constant*((Constant*Constant)/Constant/Constant),(0.5189711546879262/(0.3535398071491329*0.7688014084285231+(0.7777100684194245*0.6217560405086542)))/(x[0]+x[0])+0.6304384579593648/0.8257115375649291*((0.42410658349993513*0.20355890208766925)/0.4460869656608789/0.11988849259120005),"[0.51897115 0.35353981 0.76880141 0.77771007 0.62175604 0.63043846
 0.82571154 0.42410658 0.2035589  0.44608697 0.11988849]",0.3035214520613531,"{'fitness 25': 0.235847932884779, 'fitness 53': 0.33004342481768284, 'fitness 74': 0.3446729984815976, 'fitness 102': 0.3315871150865783}",False
2,"[[0], [1], [0, 0], [0, 3, 1, 3], [1, 0, 0, 1], [3, 3, 3, 0, 1, 3, 3, 2, 2], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 1]]",0.358889156878602,"[1, 1, 2, 4, 4, 9, 10, 4]",7,((Constant/Constant)/Constant/x[0]+x[0]-(x[0]/Constant/(x[1]*Constant))*Constant),((0.36347249512852986/0.43386434347367075)/0.791909741619969/x[0]+x[0]-(x[0]/0.7680299342825078/(x[1]*0.18835331708214287))*0.17662736063550433),[0.3634725  0.43386434 0.79190974 0.76802993 0.18835332 0.17662736],0.37977611189666494,"{'fitness 25': 0.41504071745985976, 'fitness 53': 0.38380286267427144, 'fitness 74': 0.3404847555558635, 'fitness 102': 0.358889156878602}",False
3,"[[0], [2], [2], [0], [0, 0], [1, 0, 1], [0, 1, 0, 1], [1, 0]]",0.37679248134856574,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((x[1]-Constant+x[0]-Constant**Constant)**Constant),((x[1]-0.7615417008127585+x[0]-0.0483335163322145**0.08754634505422454)**0.07581740996870534),[0.7615417  0.04833352 0.08754635 0.07581741],0.3472944725468005,"{'fitness 25': 0.2879252127825198, 'fitness 53': 0.3766519157986672, 'fitness 74': 0.3773062890592145, 'fitness 102': 0.37679248134856574}",False
4,"[[0], [1], [2, 2], [3, 3, 0, 0], [], [0], [1, 1, 0, 0, 1, 0, 0, 1], [0]]",0.3830379315621147,"[1, 1, 2, 2, 0, 1, 2, 0]",5,((Constant**Constant)+(Constant**Constant)),((0.589957478961631**0.327736557011971)+(0.4237089998837491**0.17986394459364585)),[0.58995748 0.32773656 0.423709   0.17986394],0.35418158324478405,"{'fitness 25': 0.28855359274835785, 'fitness 53': 0.3880074186177516, 'fitness 74': 0.38598373836824257, 'fitness 102': 0.3830379315621147}",False
5,"[[0], [2], [1], [0, 0], [0, 0, 1, 0], [2, 2, 0, 0, 3, 0, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0]]",0.4323978895986278,"[1, 1, 1, 2, 4, 7, 8, 4]",7,((Constant*x[0]*x[0]+Constant+(Constant/Constant)+x[0]+x[0])**Constant),((0.6751107188212236*x[0]*x[0]+0.8212660724641866+(0.952043862345536/0.01194043972388803)+x[0]+x[0])**0.10950930674228954),[0.67511072 0.82126607 0.95204386 0.01194044 0.10950931],0.4007446023815653,"{'fitness 25': 0.33221101274129244, 'fitness 53': 0.43461083780407256, 'fitness 74': 0.4354119565993309, 'fitness 102': 0.4323978895986278}",False
6,"[[0], [2], [2], [3], [], [], [0, 0, 1], [1, 1]]",0.44149044277911653,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.08571805270411059)**0.7412323662561192),[0.08571805 0.74123237],0.3995123684814745,"{'fitness 25': 0.3225485408655032, 'fitness 53': 0.4344234323195141, 'fitness 74': 0.44156513225940613, 'fitness 102': 0.44149044277911653}",False
7,"[[0], [1], [2, 2], [2, 3], [1], [2, 0], [0, 0, 1], [1, 1]]",0.45600373941916017,"[1, 1, 2, 2, 1, 2, 3, 2]",7,((((x[1]*x[1])**Constant)**Constant)+(Constant**Constant)),((((x[1]*x[1])**0.02454156192891177)**0.7874519707946313)+(0.7650425467434235**0.4845369011380666)),[0.02454156 0.78745197 0.76504255 0.4845369 ],0.474121268344552,"{'fitness 25': 0.4888357942167138, 'fitness 53': 0.47682089305857056, 'fitness 74': 0.45670711775837153, 'fitness 102': 0.45600373941916017}",False
8,"[[0], [0], [0, 3], [3, 2], [1], [0, 1, 0], [1, 1, 1, 1], []]",0.45736789752072887,"[1, 1, 2, 2, 1, 3, 4, 0]",6,Constant+((Constant-Constant)**Constant)+Constant,0.9139130924573461+((0.4958119708523312-0.13061738429559666)**0.3431324784292352)+0.6323860324160249,[0.91391309 0.49581197 0.13061738 0.34313248 0.63238603],0.47488094506925144,"{'fitness 25': 0.49107147114067007, 'fitness 53': 0.47707525997580563, 'fitness 74': 0.45649610409127855, 'fitness 102': 0.45736789752072887}",False
9,"[[0], [2], [2], [3], [0, 0], [], [0, 0, 1], [1, 1]]",0.4862757666042782,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.16125074210316903)**0.35806898915888785),[0.16125074 0.35806899],0.44288419154734,"{'fitness 25': 0.36445428983080325, 'fitness 53': 0.47770518879452784, 'fitness 74': 0.48649309601668894, 'fitness 102': 0.4862757666042782}",False
10,"[[0], [0], [2, 3], [1, 0, 3, 0], [0, 1, 0, 2, 0, 0], [0, 1, 2, 3, 2, 3, 3, 1, 2, 0, 1], [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0]]",0.49532209020885304,"[1, 1, 2, 1, 2, 4, 5, 4]",7,((x[0]+x[1]-(x[0]*Constant))**Constant)/x[0],((x[0]+x[1]-(x[0]*0.18575583884883562))**0.05066088436843452)/x[0],[0.18575584 0.05066088],0.4990949602564809,"{'fitness 25': 0.5255541415672873, 'fitness 53': 0.5035271653372377, 'fitness 74': 0.46820357386491784, 'fitness 102': 0.49532209020885304}",False
11,"[[0], [2], [0], [3, 1], [1, 2], [0, 3, 1], [1, 1, 1, 1], []]",0.5742650865479711,"[1, 1, 1, 2, 2, 3, 4, 0]",6,(Constant+((Constant/Constant)-Constant)**Constant),(0.4530241815898962+((0.913313711277314/0.6970067150081805)-0.3895956087231688)**0.18397008142971594),[0.45302418 0.91331371 0.69700672 0.38959561 0.18397008],0.5399877753104261,"{'fitness 25': 0.47083270243303266, 'fitness 53': 0.5716547694879042, 'fitness 74': 0.5774758540103415, 'fitness 102': 0.5742650865479711}",False
