,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
1,"[[0], [2], [1], [0, 1], [2, 2, 0, 2], [1, 1, 1, 2], [0, 1, 0, 1, 0], [1, 0, 0]]",0.4004395633998104,7,((x[1]-Constant-(x[0]-Constant*x[0]))**Constant),"[1, 1, 1, 2, 4, 4, 5, 3]",((x[1]-0.25573429660478764-(x[0]-0.6740985777901647*x[0]))**0.08824558087326517),[0.2557343  0.67409858 0.08824558],0.38144502843510236,"{'fitness 25': 0.36418925690682763, 'fitness 53': 0.4004395633998104, 'fitness 74': 0.39130412898114825, 'fitness 102': 0.3888416994173312}",False
2,"[[0], [0], [2, 2], [3, 1], [2, 2], [0, 0], [0, 0, 0], [0, 1, 0]]",0.4772358301606541,7,(x[0]**Constant)+((x[1]+x[0])**Constant),"[1, 1, 2, 2, 2, 2, 3, 3]",(x[0]**0.30654445076583825)+((x[1]+x[0])**0.01618772895120557),[0.30654445 0.01618773],0.45607296824919724,"{'fitness 25': 0.453304609684033, 'fitness 53': 0.4772358301606541, 'fitness 74': 0.45787988187001133, 'fitness 102': 0.4570344131935474}",False
3,"[[0], [0], [1, 0], [0, 2, 1, 2], [2, 0, 0, 0, 1, 0], [1, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0], [1, 0, 1, 0]]",0.5405014293205703,7,(x[1]-x[0]+Constant-(Constant/Constant**Constant))/(x[1]+Constant-(Constant+Constant))+(Constant+x[0]**Constant),"[1, 1, 2, 4, 6, 10, 11, 4]",(x[1]-x[0]+0.5148882106524333-(0.6154706270666969/0.7011150181008989**0.4704027131472913))/(x[1]+0.5515026671020091-(0.112811922909966+0.9436862954161495))+(0.016745288427801874+x[0]**0.6886109483568976),"[0.51488821 0.61547063 0.70111502 0.47040271 0.55150267 0.11281192
 0.9436863  0.01674529 0.68861095]",0.5090063671861277,"{'fitness 25': 0.48435410124420614, 'fitness 53': 0.5405014293205703, 'fitness 74': 0.5205360350708322, 'fitness 102': 0.5221289652433447}",False
4,"[[0], [2], [3], [], [], [], [0], [1]]",0.5825521787110578,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.04549072753209005),[0.04549073],0.5528329841562886,"{'fitness 25': 0.47324356226051223, 'fitness 53': 0.5825521787110578, 'fitness 74': 0.5930342774975408, 'fitness 102': 0.5922211127108126}",False
5,"[[0], [0], [2, 0], [1, 0, 3], [2, 0, 1, 0], [0, 3, 0, 0, 3, 3, 3], [0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 1, 1]]",0.6168964177072616,7,((x[0]+x[0]/Constant)**Constant)+(Constant+Constant)/x[1]/x[1]/Constant,"[1, 1, 2, 3, 4, 7, 8, 4]",((x[0]+x[0]/0.3926921396118488)**0.47400297075002196)+(0.7190643157062127+0.8504277246476544)/x[1]/x[1]/0.34098688803141897,[0.39269214 0.47400297 0.71906432 0.85042772 0.34098689],0.57754651103628,"{'fitness 25': 0.5304118419651793, 'fitness 53': 0.6168964177072616, 'fitness 74': 0.5973607398718027, 'fitness 102': 0.604866951271858}",False
6,"[[0], [2], [0], [2, 0], [0, 2, 1], [0, 0, 1, 2], [0, 1, 1, 1, 1], [0]]",0.6955157061874452,7,((x[0]+Constant**Constant)+Constant-(Constant*Constant)**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((x[0]+0.5565041340030039**0.9247222366187731)+0.8585464078764099-(0.72508781406211*0.19878571349942664)**0.8901355437340746),[0.55650413 0.92472224 0.85854641 0.72508781 0.19878571 0.89013554],0.6728609164873159,"{'fitness 25': 0.6709524146115871, 'fitness 53': 0.6955157061874452, 'fitness 74': 0.6748449679337578, 'fitness 102': 0.672785366916603}",False
7,"[[0], [2], [1], [3, 3], [], [0], [1, 0], [0]]",0.8118001606596589,6,((Constant+x[0])**Constant),"[1, 1, 1, 2, 0, 1, 2, 1]",((0.7891406140494895+x[0])**0.32447223991367957),[0.78914061 0.32447224],0.7821529624607756,"{'fitness 25': 0.7132279094455345, 'fitness 53': 0.8118001606596589, 'fitness 74': 0.8164222125278229, 'fitness 102': 0.8168087654089694}",False
8,"[[0], [2], [2], [0], [2, 1], [2, 0], [1, 0, 1], [0]]",0.9447248523763951,7,((Constant*(x[0]+Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 1]",((0.8609638464492807*(x[0]+0.6766478769561131)**0.5174821531475772)**0.32462896592288826),[0.86096385 0.67664788 0.51748215 0.32462897],0.9184658216209082,"{'fitness 25': 0.8506377523841232, 'fitness 53': 0.9447248523763951, 'fitness 74': 0.9530754939454943, 'fitness 102': 0.9516842185331074}",False
9,"[[0], [3], [], [], [], [], [1], []]",0.969799531629646,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9938004295534368,[0.99380043],0.9452485013163638,"{'fitness 25': 0.8779693576164084, 'fitness 53': 0.969799531629646, 'fitness 74': 0.9804572181606793, 'fitness 102': 0.9773189281720038}",False
10,"[[0], [1], [3, 0], [3, 0], [2, 1], [1, 1, 3, 1], [1, 1, 0, 1, 0], [1, 1]]",0.9780131307982504,7,(Constant-Constant-x[1]/(Constant-x[1])),"[1, 1, 2, 2, 2, 4, 5, 2]",(0.44544452724899364-0.46051204498956777-x[1]/(0.34693648554895196-x[1])),[0.44544453 0.46051204 0.34693649],0.9535381776579673,"{'fitness 25': 0.8863403128003257, 'fitness 53': 0.9780131307982504, 'fitness 74': 0.9887085387202886, 'fitness 102': 0.9855656814532876}",False
11,"[[0], [3], [], [], [], [], [1], []]",1.0154408124233187,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9454573490417922,[0.94545735],0.9913199136587894,"{'fitness 25': 0.9243432440070103, 'fitness 53': 1.0154408124233187, 'fitness 74': 1.0263720322797878, 'fitness 102': 1.0232444646895702}",False
12,"[[0], [1], [0, 1], [2, 2, 0, 2], [2, 1, 1, 2, 1], [1, 2, 3, 2, 0, 1, 2], [0, 0, 1, 1, 1, 1, 1, 0], [0, 0, 1]]",1.0398733911294555,7,((x[0]**Constant)-((x[0]*Constant)**Constant)/((Constant*Constant)+Constant-((Constant*x[1])**Constant))),"[1, 1, 2, 4, 5, 7, 8, 3]",((x[0]**0.7506131201345214)-((x[0]*0.17455130110587247)**0.6945450857069199)/((0.6591706929746777*0.4088052780317212)+0.19739232515631489-((0.7540742177342816*x[1])**0.19759796102772365))),"[0.75061312 0.1745513  0.69454509 0.65917069 0.40880528 0.19739233
 0.75407422 0.19759796]",1.0059206310038658,"{'fitness 25': 0.9401391575152309, 'fitness 53': 1.0398733911294555, 'fitness 74': 1.0340708038097488, 'fitness 102': 1.0435519316866175}",False
13,"[[0], [3], [], [], [], [], [1], []]",1.0584843985873686,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9000968273845008,[0.90009683],1.0347369729982312,"{'fitness 25': 0.9680312896574373, 'fitness 53': 1.0584843985873686, 'fitness 74': 1.069648703427352, 'fitness 102': 1.066530925909904}",False
14,"[[0], [2], [3], [], [], [], [0], [0]]",1.0856700909092198,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.7015976345976964),[0.70159763],1.053612369065413,"{'fitness 25': 0.9859076622461346, 'fitness 53': 1.0856700909092198, 'fitness 74': 1.0831989535469975, 'fitness 102': 1.0917304914031063}",False
15,"[[0], [2], [3], [], [], [], [1], []]",1.100379959232795,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.3114020482860277**0.1331388413676008),[0.31140205 0.13313884],1.076969352183023,"{'fitness 25': 1.0105144694162032, 'fitness 53': 1.100379959232795, 'fitness 74': 1.111751080508234, 'fitness 102': 1.108642506624632}",False
16,"[[0], [3], [], [], [], [], [1], []]",1.1144344907201715,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8414224129983083,[0.84142241],1.0911314651222639,"{'fitness 25': 1.0247579371250366, 'fitness 53': 1.1144344907201715, 'fitness 74': 1.1258710093553077, 'fitness 102': 1.1227654488864478}",False
17,"[[0], [2], [2], [0], [2, 2], [3], [0, 1], [0]]",1.1168831300938595,7,((x[0]/Constant**Constant)**Constant),"[1, 1, 1, 1, 2, 1, 2, 1]",((x[0]/0.9867154550006665**0.4778890975215988)**0.9643684341302903),[0.98671546 0.4778891  0.96436843],1.0829365184270408,"{'fitness 25': 1.0156638432335818, 'fitness 53': 1.1168831300938595, 'fitness 74': 1.1106914502739198, 'fitness 102': 1.1224542617736204}",False
18,"[[0], [3], [], [], [], [], [0], [0]]",1.125333561886798,4,x[0],"[1, 1, 0, 0, 0, 0, 1, 1]",x[0],[],1.0912887077667233,"{'fitness 25': 1.0240800867653967, 'fitness 53': 1.125333561886798, 'fitness 74': 1.118858927232444, 'fitness 102': 1.130927109302329}",False
