,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
1,"[[0], [2], [1, 0], [1, 2, 1, 2], [0, 1, 2], [2, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1], [1, 0, 1, 0]]",0.3876881856999043,7,(((x[1]*x[0]+(x[1]-Constant))/(Constant**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 3]",(((x[1]*x[0]+(x[1]-0.8634367409564241))/(0.7033295850101421**0.9496577659029178))**0.07203141344323816),[0.86343674 0.70332959 0.94965777 0.07203141],0.3609014552880718,"{'fitness 25': 0.31840313600714804, 'fitness 53': 0.3876881856999043, 'fitness 74': 0.3826091190446596, 'fitness 102': 0.3816921108124079}",False
2,"[[0], [2], [1], [0, 1], [2, 2, 0, 2], [1, 1, 1, 2], [0, 1, 0, 1, 0], [1, 0, 0]]",0.4004395633998104,7,((x[1]-Constant-(x[0]-Constant*x[0]))**Constant),"[1, 1, 1, 2, 4, 4, 5, 3]",((x[1]-0.25573429660478764-(x[0]-0.6740985777901647*x[0]))**0.08824558087326517),[0.2557343  0.67409858 0.08824558],0.38144502843510236,"{'fitness 25': 0.36418925690682763, 'fitness 53': 0.4004395633998104, 'fitness 74': 0.39130412898114825, 'fitness 102': 0.3888416994173312}",False
3,"[[0], [0], [2, 2], [3, 1], [2, 2], [0, 0], [0, 0, 0], [0, 1, 0]]",0.4772358301606541,7,(x[0]**Constant)+((x[1]+x[0])**Constant),"[1, 1, 2, 2, 2, 2, 3, 3]",(x[0]**0.30654445076583825)+((x[1]+x[0])**0.01618772895120557),[0.30654445 0.01618773],0.45607296824919724,"{'fitness 25': 0.453304609684033, 'fitness 53': 0.4772358301606541, 'fitness 74': 0.45787988187001133, 'fitness 102': 0.4570344131935474}",False
4,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.511767344805669,7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.5131817298724367+(x[0]/x[0]-(x[0]-x[0]))**0.43692191526671986),[0.51318173 0.43692192],0.4794241602810369,"{'fitness 25': 0.40955890169315246, 'fitness 53': 0.511767344805669, 'fitness 74': 0.5159527765355704, 'fitness 102': 0.512760802614388}",False
5,"[[0], [0], [1, 0], [0, 2, 1, 2], [2, 0, 0, 0, 1, 0], [1, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0], [1, 0, 1, 0]]",0.5405014293205703,7,(x[1]-x[0]+Constant-(Constant/Constant**Constant))/(x[1]+Constant-(Constant+Constant))+(Constant+x[0]**Constant),"[1, 1, 2, 4, 6, 10, 11, 4]",(x[1]-x[0]+0.5148882106524333-(0.6154706270666969/0.7011150181008989**0.4704027131472913))/(x[1]+0.5515026671020091-(0.112811922909966+0.9436862954161495))+(0.016745288427801874+x[0]**0.6886109483568976),"[0.51488821 0.61547063 0.70111502 0.47040271 0.55150267 0.11281192
 0.9436863  0.01674529 0.68861095]",0.5090063671861277,"{'fitness 25': 0.48435410124420614, 'fitness 53': 0.5405014293205703, 'fitness 74': 0.5205360350708322, 'fitness 102': 0.5221289652433447}",False
6,"[[0], [2], [3], [], [], [], [0], [1]]",0.5825521787110578,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.04549072753209005),[0.04549073],0.5528329841562886,"{'fitness 25': 0.47324356226051223, 'fitness 53': 0.5825521787110578, 'fitness 74': 0.5930342774975408, 'fitness 102': 0.5922211127108126}",False
7,"[[0], [0], [2, 0], [1, 0, 3], [2, 0, 1, 0], [0, 3, 0, 0, 3, 3, 3], [0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 1, 1]]",0.6168964177072616,7,((x[0]+x[0]/Constant)**Constant)+(Constant+Constant)/x[1]/x[1]/Constant,"[1, 1, 2, 3, 4, 7, 8, 4]",((x[0]+x[0]/0.3926921396118488)**0.47400297075002196)+(0.7190643157062127+0.8504277246476544)/x[1]/x[1]/0.34098688803141897,[0.39269214 0.47400297 0.71906432 0.85042772 0.34098689],0.57754651103628,"{'fitness 25': 0.5304118419651793, 'fitness 53': 0.6168964177072616, 'fitness 74': 0.5973607398718027, 'fitness 102': 0.604866951271858}",False
8,"[[0], [2], [1], [2, 1], [0, 2, 2], [0, 0, 1], [1, 1, 1, 0], [0, 0, 0, 0]]",0.6413243916329123,7,(((Constant+Constant**Constant)+(Constant-x[0]))**Constant),"[1, 1, 1, 2, 3, 3, 4, 1]",(((0.794822038328194+0.9572948314302584**0.21606671458129567)+(0.860306869024317-x[0]))**0.5219765955994502),[0.79482204 0.95729483 0.21606671 0.86030687 0.5219766 ],0.6188139714952808,"{'fitness 25': 0.551052932938301, 'fitness 53': 0.6413243916329123, 'fitness 74': 0.6569938102023832, 'fitness 102': 0.6483951713451581}",False
9,"[[0], [0], [2, 2], [2, 3], [1], [2, 3], [1, 0, 1], [1]]",0.6583399231849586,7,(((Constant*x[1])**Constant)**Constant)/(Constant**Constant),"[1, 1, 2, 2, 1, 2, 3, 1]",(((0.8758102768460664*x[1])**0.12443626339503078)**0.09501699476327052)/(0.47266119487502956**0.264660166274468),[0.87581028 0.12443626 0.09501699 0.47266119 0.26466017],0.629639231871774,"{'fitness 25': 0.5576398193126242, 'fitness 53': 0.6583399231849586, 'fitness 74': 0.666934038227902, 'fitness 102': 0.6643438380747958}",False
10,"[[0], [2], [0], [2, 1], [0, 1, 1], [0, 2, 2, 0, 3], [0, 1, 1, 1, 1, 1], [0, 0, 0, 0]]",0.68435742268631,7,((x[0]+Constant**Constant)*((Constant*Constant)+(Constant/Constant))**Constant),"[1, 1, 1, 2, 3, 5, 6, 1]",((x[0]+0.22603177572462818**0.38252192342006386)*((0.30743369216130056*0.872825744438582)+(0.4756838850784342/0.47616563791243116))**0.3933402165789658),"[0.22603178 0.38252192 0.30743369 0.87282574 0.47568389 0.47616564
 0.39334022]",0.6443384134677698,"{'fitness 25': 0.5922333348675032, 'fitness 53': 0.68435742268631, 'fitness 74': 0.6659673054756325, 'fitness 102': 0.6748146000601735}",False
11,"[[0], [2], [0], [2, 0], [0, 2, 1], [0, 0, 1, 2], [0, 1, 1, 1, 1], [0]]",0.6955157061874452,7,((x[0]+Constant**Constant)+Constant-(Constant*Constant)**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((x[0]+0.5565041340030039**0.9247222366187731)+0.8585464078764099-(0.72508781406211*0.19878571349942664)**0.8901355437340746),[0.55650413 0.92472224 0.85854641 0.72508781 0.19878571 0.89013554],0.6728609164873159,"{'fitness 25': 0.6709524146115871, 'fitness 53': 0.6955157061874452, 'fitness 74': 0.6748449679337578, 'fitness 102': 0.672785366916603}",False
12,"[[0], [2], [0], [2, 1], [0, 2, 1], [2, 0, 1, 2], [0, 1, 1, 1, 1], [0]]",0.7089251324964742,7,((x[0]*Constant**Constant)+(Constant-(Constant*Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((x[0]*0.2769688260841122**0.3091039359728385)+(0.839896025494607-(0.5720189087390776*0.1585968608799423))**0.8798054482263454),[0.27696883 0.30910394 0.83989603 0.57201891 0.15859686 0.87980545],0.6717551272157842,"{'fitness 25': 0.6054057383766901, 'fitness 53': 0.7089251324964742, 'fitness 74': 0.7018285578068028, 'fitness 102': 0.7080310854638597}",False
13,"[[0], [2], [1], [3, 3], [], [0], [1, 1], [0]]",0.8000201182706624,5,((Constant+Constant)**Constant),"[1, 1, 1, 2, 0, 1, 2, 0]",((0.6134037198723817+0.7825319682636709)**0.4877442481020099),[0.61340372 0.78253197 0.48774425],0.7734726146228365,"{'fitness 25': 0.7049396776747628, 'fitness 53': 0.8000201182706624, 'fitness 74': 0.8093289820635944, 'fitness 102': 0.8061491841301518}",False
14,"[[0], [0], [2, 0], [1, 0, 3], [2, 0, 1, 0], [0, 3, 0, 0, 3, 3, 3], [0, 1, 1, 1, 1, 0, 0, 0], [0, 1, 0, 1]]",0.8048524831019974,7,((x[0]+Constant/Constant)**Constant)+(Constant+Constant)/x[1]/x[0]/x[1],"[1, 1, 2, 3, 4, 7, 8, 4]",((x[0]+0.29801920809674065/0.39621098374318364)**0.3580419862516101)+(0.7651850634158812+0.3242285217082297)/x[1]/x[0]/x[1],[0.29801921 0.39621098 0.35804199 0.76518506 0.32422852],0.7746489922477237,"{'fitness 25': 0.7056736968083437, 'fitness 53': 0.8048524831019974, 'fitness 74': 0.8086991356330097, 'fitness 102': 0.8095741443018176}",False
15,"[[0], [1], [3, 2], [0], [1, 2], [3, 2, 3], [0, 0, 1, 0], [0, 0, 0]]",0.806867752832752,7,(x[0]/((x[0]*Constant)/x[0]**Constant)),"[1, 1, 2, 1, 2, 3, 4, 3]",(x[0]/((x[0]*0.8055897079517406)/x[0]**0.23201553359615112)),[0.80558971 0.23201553],0.7755192726554202,"{'fitness 25': 0.7065464550141671, 'fitness 53': 0.806867752832752, 'fitness 74': 0.8088209101176402, 'fitness 102': 0.8111904528344532}",False
16,"[[0], [2], [0], [1, 0, 3, 1], [0, 0, 2, 1, 1, 0], [0, 2, 2, 0, 3, 2], [0, 1, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 1]]",0.8599164199773035,7,((x[0]+Constant*Constant*Constant)+Constant/(Constant*x[1])**Constant),"[1, 1, 1, 2, 4, 6, 7, 2]",((x[0]+0.2549922395656392*0.32301197217888056*0.6013820313642244)+0.8136911407386324/(0.7035378568150629*x[1])**0.13780422481221788),[0.25499224 0.32301197 0.60138203 0.81369114 0.70353786 0.13780422],0.8212282439407813,"{'fitness 25': 0.7617202449158798, 'fitness 53': 0.8599164199773035, 'fitness 74': 0.8460638507051794, 'fitness 102': 0.8559006362012849}",False
17,"[[0], [2], [2], [1, 1], [2, 0], [0, 2, 1, 3, 2], [1, 1, 1], [0, 0]]",0.8628276908214783,6,(((Constant+Constant*Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 0]",(((0.9792105565686975+0.7507263207059296*0.8960147447254293)**0.5502835707547741)**0.37246589787506457),[0.97921056 0.75072632 0.89601474 0.55028357 0.3724659 ],0.8371029154729532,"{'fitness 25': 0.7690547422340496, 'fitness 53': 0.8628276908214783, 'fitness 74': 0.8727092051908667, 'fitness 102': 0.8695447989939431}",False
18,"[[0], [1], [3, 3], [3, 1], [2, 2], [3, 0], [0, 1, 1, 0], [0, 1, 0]]",0.9085093305168032,5,(x[0]/Constant),"[1, 1, 2, 0, 0, 1, 2, 1]",(x[0]/0.693001878478613),[0.69300188],0.8673321766147054,"{'fitness 25': 0.8062328498838034, 'fitness 53': 0.9085093305168032, 'fitness 74': 0.8897933875873152, 'fitness 102': 0.9059702923729978}",False
19,"[[0], [2], [1, 0], [1, 3, 2, 0], [0, 1], [0, 3, 3, 0], [0, 1, 0, 1, 1], [0, 1, 0]]",0.9188686525340942,7,(((x[0]+Constant/(x[1]/Constant))+Constant)**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",(((x[0]+0.5620947700784827/(x[1]/0.19319021677304893))+0.302349935278137)**0.4388168542341523),[0.56209477 0.19319022 0.30234994 0.43881685],0.888502683102991,"{'fitness 25': 0.8200471520471162, 'fitness 53': 0.9188686525340942, 'fitness 74': 0.9211158401137053, 'fitness 102': 0.9243450571481513}",False
20,"[[0], [2], [2], [2, 1], [1, 2], [0, 2, 1, 3, 2], [1, 1], [0, 0]]",0.9295849363108954,6,((((Constant+Constant)**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 0]",((((0.8669206910015185+0.7937105036612728)**0.7065086408675215)**0.7536974670344526)**0.13322809426694882),[0.86692069 0.7937105  0.70650864 0.75369747 0.13322809],0.904622146982338,"{'fitness 25': 0.8370635248330013, 'fitness 53': 0.9295849363108954, 'fitness 74': 0.9399754509353095, 'fitness 102': 0.9368274651787032}",False
21,"[[0], [2], [2], [0], [2, 2], [0, 1], [1, 0, 1], [0]]",0.9550719165797317,7,((Constant+x[0]**Constant)**Constant),"[1, 1, 1, 1, 2, 1, 2, 1]",((0.23849645182134083+x[0]**0.8433767377443331)**0.1219331327056914),[0.23849645 0.84337674 0.12193313],0.9290840771353671,"{'fitness 25': 0.8613673433338599, 'fitness 53': 0.9550719165797317, 'fitness 74': 0.96371948336844, 'fitness 102': 0.9621654047038014}",False
22,"[[0], [2], [2], [2, 1], [2, 2], [0, 3, 0, 0, 3, 3, 3, 1, 2, 1, 0], [1, 1], [0, 0, 0, 0, 1, 1]]",0.9700296815173225,6,(((Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 0]",(((0.7443347762003422**0.08260954234748841)**0.29159621350453047)**0.9089464201283879),[0.74433478 0.08260954 0.29159621 0.90894642],0.945480915616847,"{'fitness 25': 0.8782033365459774, 'fitness 53': 0.9700296815173225, 'fitness 74': 0.9806888227103135, 'fitness 102': 0.97755058759425}",False
23,"[[0], [2], [3], [], [1], [], [1, 0, 1], [1]]",0.9853220089065645,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.2655425122957019**0.017294775886180003),[0.26554251 0.01729478],0.960921474007074,"{'fitness 25': 0.8937469622936167, 'fitness 53': 0.9853220089065645, 'fitness 74': 0.9960760331711417, 'fitness 102': 0.9929414265564634}",False
24,"[[0], [1], [3, 2], [1, 0, 3], [1, 2], [3, 2, 3], [0, 0, 1, 0], [0, 0, 0, 1]]",0.9859567736093198,7,(x[0]/(((x[0]*Constant)/x[0])**Constant)),"[1, 1, 2, 1, 2, 3, 4, 3]",(x[0]/(((x[0]*0.4723842943249744)/x[0])**0.29286519137381906)),[0.47238429 0.29286519],0.9474748170237053,"{'fitness 25': 0.882011336217462, 'fitness 53': 0.9859567736093198, 'fitness 74': 0.97271776841763, 'fitness 102': 0.9876953464360239}",False
25,"[[0], [2], [3], [], [0, 1], [], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.9868854863148815,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8861836587651223**0.20383605348059608),[0.88618366 0.20383605],0.9624998629909536,"{'fitness 25': 0.8953357894488618, 'fitness 53': 0.9868854863148815, 'fitness 74': 0.997649018579347, 'fitness 102': 0.9945147809446522}",False
26,"[[0], [2], [1, 0], [3, 0], [2, 0, 0, 0, 1, 0], [1, 0, 1, 3, 3, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 0, 0]]",0.988487535543809,7,((Constant-x[0]+x[0]-Constant)**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.3389438270478554-x[0]+x[0]-0.018735694353314458)**0.023157540925645148),[0.33894383 0.01873569 0.02315754],0.9641171456192361,"{'fitness 25': 0.8969637486403002, 'fitness 53': 0.988487535543809, 'fitness 74': 0.9992607740816329, 'fitness 102': 0.9961269141357754}",False
27,"[[0], [2], [3], [2, 0], [2, 1, 1, 2, 1], [0, 0, 1, 2], [0], [0, 0, 1]]",0.9922569531912552,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.1429160858556543),[0.14291609],0.9657077989447558,"{'fitness 25': 0.8980310172822056, 'fitness 53': 0.9922569531912552, 'fitness 74': 0.9996995509515095, 'fitness 102': 0.9993928286005522}",False
28,"[[0], [0], [2, 2], [2, 3], [1], [3, 3], [1, 0, 1], [0]]",1.0080770846842073,7,(((Constant/x[0])**Constant)**Constant)/(Constant**Constant),"[1, 1, 2, 2, 1, 2, 3, 1]",(((0.6829658799207712/x[0])**0.28132599037810657)**0.4656264659035534)/(0.14167517028399756**0.5621470883852756),[0.68296588 0.28132599 0.46562647 0.14167517 0.56214709],1.0158613333053157,"{'fitness 25': 1.0679165578929406, 'fitness 53': 1.0080770846842073, 'fitness 74': 0.9851413865107846, 'fitness 102': 0.994526055512222}",False
29,"[[0], [2], [3], [], [], [], [0], [0]]",1.022863956040252,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.3089328391534216),[0.30893284],0.994365470035965,"{'fitness 25': 0.926497234339191, 'fitness 53': 1.022863956040252, 'fitness 74': 1.0269614652072094, 'fitness 102': 1.029637710561495}",False
30,"[[0], [2], [3], [2, 1], [], [0, 2, 2, 0, 3], [1], [0, 0, 0, 0]]",1.0243127832066898,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8367630485797762**0.3705821716340506),[0.83676305 0.37058217],1.0002712935714595,"{'fitness 25': 0.9333516031918936, 'fitness 53': 1.0243127832066898, 'fitness 74': 1.0352939002453183, 'fitness 102': 1.0321683772771664}",False
31,"[[0], [2], [1], [3, 3], [], [0], [1, 1], [0]]",1.0358636401083836,5,((Constant+Constant)**Constant),"[1, 1, 1, 2, 0, 1, 2, 0]",((0.268163655087877+0.5911969648612687)**0.5221561728481624),[0.26816366 0.59119696 0.52215617],1.0119236079091134,"{'fitness 25': 0.9450772225465276, 'fitness 53': 1.0358636401083836, 'fitness 74': 1.0469082413320128, 'fitness 102': 1.0437853598487996}",False
32,"[[0], [2], [3, 3], [0, 2, 1, 2], [2, 1, 2], [2, 2, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0]]",1.0529426109049287,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.4868438477743021),[0.48684385],1.0226699965541173,"{'fitness 25': 0.954789331144731, 'fitness 53': 1.0529426109049287, 'fitness 74': 1.05384864858634, 'fitness 102': 1.0593720099312811}",False
