,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0, 3], [3, 1], [1, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 1, 0, 0], [0, 0, 0, 0]]",0.2591650839114554,"[1, 1, 1, 2, 2, 4, 5, 3]",7,(Constant+((x[0]+Constant)/(x[0]*x[0]))**Constant),(0.9497832839135237+((x[0]+0.1687019796700876)/(x[0]*x[0]))**0.225621688489689),[0.94978328 0.16870198 0.22562169],0.24383703460037046,"{'fitness 25': 0.24730219139580017, 'fitness 53': 0.2591650839114554, 'fitness 74': 0.24220105191853336, 'fitness 102': 0.24200786048677783}",False
1,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.2836264405206929,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),(0.689055353608095+(0.9158482766053965/x[0]-(0.5737265164511184-x[0]))**0.492834216558813),[0.68905535 0.91584828 0.57372652 0.49283422],0.25464363567026,"{'fitness 25': 0.22210302134542056, 'fitness 53': 0.2836264405206929, 'fitness 74': 0.27407356458179016, 'fitness 102': 0.2677543210835693}",False
2,"[[0], [1], [0, 3], [3, 2], [1, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 1, 0, 0], [0, 0, 1, 1]]",0.28800610525419473,"[1, 1, 2, 2, 1, 3, 4, 2]",7,(Constant+((x[0]+Constant)**Constant)/x[0]),(0.5587127117435289+((x[0]+0.695929638568045)**0.06918833464731555)/x[0]),[0.55871271 0.69592964 0.06918833],0.2835489138272775,"{'fitness 25': 0.28207978575458964, 'fitness 53': 0.28800610525419473, 'fitness 74': 0.2793054275478015, 'fitness 102': 0.28926152817944123}",False
3,"[[0], [0], [2, 0], [0, 0, 3], [2, 2, 2, 1], [3, 0, 2, 3, 2, 1, 3], [1, 0, 0, 0, 0, 1], [0, 0, 1, 1]]",0.303434001416759,"[1, 1, 2, 3, 4, 5, 6, 4]",7,(Constant/x[0]**Constant)+x[0]*(x[1]/x[1])*Constant,(0.9872805562055947/x[0]**0.6607983106894704)+x[0]*(x[1]/x[1])*0.7203748785840063,[0.98728056 0.66079831 0.72037488],0.26995568151059923,"{'fitness 25': 0.21357170644387236, 'fitness 53': 0.303434001416759, 'fitness 74': 0.30296226976157753, 'fitness 102': 0.2933330683263477}",False
4,"[[0], [2], [0], [3, 1], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",0.32518810199066417,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]+x[0]/(x[0]*x[0]))**Constant),(0.7692029195351896+(x[0]+x[0]/(x[0]*x[0]))**0.3048476793839736),[0.76920292 0.30484768],0.3051645141985309,"{'fitness 25': 0.3014337364092432, 'fitness 53': 0.32518810199066417, 'fitness 74': 0.30800129411755517, 'fitness 102': 0.3060585120687945}",False
5,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
6,"[[0], [2], [0, 3], [3, 2], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 1, 1, 0, 0], [0, 0, 0, 0]]",0.32981040938283523,"[1, 1, 1, 2, 1, 2, 3, 0]",6,(Constant+(Constant+Constant**Constant)**Constant),(0.8798249804016942+(0.8769925423877685+0.017086626496903845**0.24037206488001284)**0.29660252201670967),[0.87982498 0.87699254 0.01708663 0.24037206 0.29660252],0.3026308349293029,"{'fitness 25': 0.27923584857924755, 'fitness 53': 0.32981040938283523, 'fitness 74': 0.3150309128882225, 'fitness 102': 0.31362574332043863}",False
7,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.3383029312407518,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),(0.9338144098256496+(0.6342324075916644/x[0]-(0.6586611387095673-x[0]))**0.6567517499403629),[0.93381441 0.63423241 0.65866114 0.65675175],0.31216825607257154,"{'fitness 25': 0.29403747232977323, 'fitness 53': 0.3383029312407518, 'fitness 74': 0.3238162299203729, 'fitness 102': 0.3186510659675685}",False
8,"[[0], [2], [1], [2, 0, 2], [1, 0, 2, 1], [3, 2, 3, 2, 2, 3, 1], [0, 1, 0, 0, 1], [0, 1, 0, 1]]",0.35550301930611056,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((((x[0]/Constant)**Constant)*x[1]/x[0]*Constant)**Constant),((((x[0]/0.13104460023076547)**0.45422313937738124)*x[1]/x[0]*0.10429079487652748)**0.09293366258635105),[0.1310446  0.45422314 0.10429079 0.09293366],0.3301284463564553,"{'fitness 25': 0.27585363447228595, 'fitness 53': 0.35550301930611056, 'fitness 74': 0.3579399176650892, 'fitness 102': 0.35659178693199056}",False
9,"[[0], [2], [0], [3, 1], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0], [0, 0, 1, 1]]",0.3579599703101367,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]+x[0]/(x[1]*x[1]))**Constant),(0.8064194696169619+(x[0]+x[0]/(x[1]*x[1]))**0.045833779207521075),[0.80641947 0.04583378],0.3230027979907321,"{'fitness 25': 0.27134195809654255, 'fitness 53': 0.3579599703101367, 'fitness 74': 0.3497581223084147, 'fitness 102': 0.34790831356723906}",False
