,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
71,"[[0], [1], [3, 2], [0, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 0, 0], [1, 0, 0, 0]]",1.856546504653472,"[1, 1, 2, 1, 2, 4, 5, 3]",7,(Constant+(Constant/x[1]-(x[0]-x[0])**Constant)),(0.07894499422225354+(0.7892336767285278/x[1]-(x[0]-x[0])**0.37644398913802635)),[0.07894499 0.78923368 0.37644399],1.83665758865883,"{'fitness 25': 1.7732099711855687, 'fitness 53': 1.856546504653472, 'fitness 74': 1.8698845010891347, 'fitness 102': 1.8668782937017867}",False
72,"[[0], [3], [1, 0], [3, 2, 0, 1], [0, 1, 1, 0, 2, 1], [0, 0, 3, 3, 2, 3, 1, 0, 2, 0, 3], [1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0]]",1.892036238003689,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.043225841436382306,[0.04322584],1.872254405612767,"{'fitness 25': 1.8088434809078082, 'fitness 53': 1.892036238003689, 'fitness 74': 1.9054540259086077, 'fitness 102': 1.9024657100218854}",False
73,"[[0], [3], [3, 0], [3, 2], [0, 1], [0, 3, 1], [1, 0, 0, 0, 0], [0]]",1.930137473659453,"[1, 1, 0, 0, 0, 0, 1, 0]",3,Constant,0.004553896683798575,[0.0045539],1.9104567619503847,"{'fitness 25': 1.847138789679432, 'fitness 53': 1.930137473659453, 'fitness 74': 1.943607967210218, 'fitness 102': 1.9406235289615044}",False
74,"[[0], [2], [0], [3, 1], [2, 2, 2, 1], [3, 0, 2, 3, 2, 1, 3], [1, 0, 0, 0, 0, 1], [0, 0, 1, 1]]",1.9322138695018956,"[1, 1, 1, 2, 2, 2, 3, 2]",7,(Constant/(x[0]+x[0])**Constant),(0.003437323838189621/(x[0]+x[0])**0.699981814608244),[0.00343732 0.69998181],1.9125603516798193,"{'fitness 25': 1.8492523302508965, 'fitness 53': 1.9322138695018956, 'fitness 74': 1.945726367426064, 'fitness 102': 1.9427023573624966}",False
75,"[[0], [2], [1], [3, 1], [2, 1, 2, 0], [1, 1, 1, 2], [0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",1.9346256557865575,"[1, 1, 1, 2, 2, 3, 4, 4]",7,((x[0]-(x[0]-(x[0]-x[0])))**Constant),((x[0]-(x[0]-(x[0]-x[0])))**0.9696515640575952),[0.96965156],1.9149565983246744,"{'fitness 25': 1.8516493651202375, 'fitness 53': 1.9346256557865575, 'fitness 74': 1.94810220971625, 'fitness 102': 1.9451182201375357}",False
76,"[[0], [1], [0, 3], [3, 2], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",2.5331756002068953,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+(Constant+x[0]**Constant)/Constant),(0.6336511882538242+(0.36853487793880924+x[0]**0.9209080866557038)/0.3733805768323192),[0.63365119 0.36853488 0.92090809 0.37338058],2.5348897569716464,"{'fitness 25': 2.5698231636385573, 'fitness 53': 2.5331756002068953, 'fitness 74': 2.5298787047192963, 'fitness 102': 2.5049674025570865}",False
77,"[[0], [2], [0, 3], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 1, 0, 0], [0, 0, 0, 0]]",2.62867530614158,"[1, 1, 1, 2, 2, 4, 5, 3]",7,(Constant+(x[0]/Constant-(x[0]-x[0]))**Constant),(0.26047504268163013+(x[0]/0.18595236526911296-(x[0]-x[0]))**0.8305449788533276),[0.26047504 0.18595237 0.83054498],2.626163132541277,"{'fitness 25': 2.6540612471948637, 'fitness 53': 2.62867530614158, 'fitness 74': 2.6274327940312827, 'fitness 102': 2.596995356397684}",False
78,"[[0], [2], [0], [3, 1], [0, 1, 1], [1, 0, 3, 3, 2, 3, 1], [1, 0, 0, 1, 1], [0, 0, 0, 0]]",2.721397949034341,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant-(x[0]+x[0]/(Constant/Constant))**Constant),(0.2664789570217252-(x[0]+x[0]/(0.3802753484102923/0.26601342225465785))**0.14600962426707786),[0.26647896 0.38027535 0.26601342 0.14600962],2.7044674960171187,"{'fitness 25': 2.6428002152749483, 'fitness 53': 2.721397949034341, 'fitness 74': 2.738241965542543, 'fitness 102': 2.732360307233866}",False
79,"[[0], [2], [0], [1, 0], [1, 0, 2, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0]]",2.811297368605947,"[1, 1, 1, 2, 4, 6, 7, 5]",7,(((Constant+x[0])+x[0]/x[0])*x[0]*(x[0]/Constant)**Constant),(((0.33189807870238563+x[0])+x[0]/x[0])*x[0]*(x[0]/0.3033339227477071)**0.3795398555644207),[0.33189808 0.30333392 0.37953986],2.793599481879133,"{'fitness 25': 2.7997520853087168, 'fitness 53': 2.811297368605947, 'fitness 74': 2.8028508757383195, 'fitness 102': 2.778195484590363}",False
80,"[[0], [1], [0, 2], [1, 2, 3], [0, 1, 2], [3, 3, 2, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0]]",3.031395464180518,"[1, 1, 2, 3, 3, 5, 6, 4]",7,((Constant/x[0]/(Constant*x[0]))+(x[0]**Constant)+(x[0]**Constant)),((0.6537572087131361/x[0]/(0.45962103439164326*x[0]))+(x[0]**0.6362157561797315)+(x[0]**0.053965701160544666)),[0.65375721 0.45962103 0.63621576 0.0539657 ],2.8954902839605707,"{'fitness 25': 2.9795439879669154, 'fitness 53': 3.031395464180518, 'fitness 74': 2.7249620723323345, 'fitness 102': 2.9819647915824614}",False
